아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
cD9udQls,,24.07.22,Cream,Free,생각보다 커요,아주 만족해요,화면과 비슷해요,157cm,44kg,상의 44,예쁩니다 ! 질도 엄청 부드럽고 좋아요 근데 .. 검은색이랑 같이 시켰는데 검은색은 질이 조금 다르더라구요? 크림색이 더 질이 좋더라고요 너무 예쁩니다 ~
8Yccfne3,,24.07.22,Black,Free,정사이즈예요,보통이에요,화면보다 어두워요,154cm,54kg,상의 55,생각보다 얇은니트이고 주름 예쁘게 잡아서 입으면 깔끔해보이게 입을 수 있을 것 같아요. 퀄리티가 그렇게 높고 마감이 클린한 편은 아닙니다
gLsEO2CL,,24.07.21,Pink,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,"골지가 촘촘하게 되어있는 반면 엄청 쪼이지않고
몸을 타고 흐르는 재질이라 사이즈 구애없이
잘 입을 수 있을거같아요‘! 핑크는 입었을때 얼굴이 화사해져서 추천합니다👍🏻"
수리97,상위 30%,24.07.21,Pink,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,48kg,상의 55,살까말까 고민하다가 여름옷 입을거 없어서 그냥 사봤거둔여 존예에여ㅠㅠㅠ🍑 딱 피치핑크 느낌이고 탄탄하고 질 좋아요!! 다른 색도 살거에요 ㅠㅠ💕💕핏도 짱 예쁩니당 모두 사세요오
jdb9*****,상위 15%,24.07.21,Blue Gray,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,155cm,52kg,상의 55,"기대 안하고 샀는데 가볍고 부드럽고 재질이 쫀쫀해서 가격대비 넘 좋은 상의 같아요! 데이트 룩으로 찰떡입니다 ,, ♡ 얼런 겟하세용 색도 여리여리 ㅠㅠ"
D0BvDiqf,상위 1%,24.07.20,Blue Gray,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,159cm,50kg,상의 44,"톤 다운 된 블루라 좋아요! 허리 잘 잡아주고
어깨도 자연스럽게 내려가서 너무 마음에 듭니다
한 번 빨래했는데 보풀도 안일어나고 줄어들거나 들어나는것도 없어 너무 좋습니당"
zlYq19GN,상위 20%,24.12.24,Blue Gray,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,53kg,상의 55,색이 아주 고급지고 좋습니다 여름 되면 자주 입고 다녀야겠어요 아주 질도 좋고 부드러워요 최고 강추합니다 오프셜더도 기여워요
GcOfCC9l,,24.11.17,Blue Gray,Free,정사이즈예요,보통이에요,화면과 비슷해요,,,,여리여리하게 예쁜데 생각보다 옷 고정이안되고 타이트해서 쪼끔 불편할수도있습니당 그래도 색깔도예쁘고 아주 좋아요~~
j99CeSCt,상위 25%,24.11.11,Blue Gray,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,165cm,55kg,상의 55,"후기많은 이유가 있네요 ㅎㅎ
편하게 입을수 있는데 꾸민듯한 느낌줄수도있어서 좋아요
면도 부들부들하고 얇아서 시원해요 
마음에 듭니다"
DVeo8Fou,,24.09.21,Blue Gray,Free,정사이즈예요,보통이에요,화면보다 밝아요,160cm,53kg,상의 55,"좀더 어두운 색을 기대했는데
색감은 제가 원한 색은 아니지만
옷 자체가 맘에 들어서 그냥 입으려구요
저는 어깨 오프숄더로 안입고 그냥 입었는데
그렇게 입어도 이쁘네요
웜 보다는 쿨에 가까운 색인듯?"
