아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
이윤,상위 15%,24.10.19,화이트_긴팔,FREE,정사이즈예요,보통이에요,화면과 비슷해요,163cm,50kg,상의 77,원래도 입고 자켓 걸치려고 하긴 했는데... 저한테는 어깨가 조금 작네요 ^^;; 그래도 디자인도 소재도 맘에 들어요. 팔 부분 박음질이 반대로 돼 있길래 불량인가 하고 잠깐 놀랐는데 사선디자인 부분이랑 스타일을 맞춘거였네요.. 근데 어디 잘못 걸리면 올 다 풀릴거같기도 ㅎ 소재가 얇아서 조금 비쳐요!
이윤,상위 15%,24.10.19,블랙_긴팔,FREE,정사이즈예요,보통이에요,화면과 비슷해요,163cm,50kg,상의 77,디자인도 소재도 맘에 들어요. 팔 부분 박음질이 반대로 돼 있길래 불량인가 하고 잠깐 놀랐는데 사선디자인 부분이랑 스타일을 맞춘거였네요.. 근데 어디 잘못 걸리면 올 다 풀릴거같이 생김 ㅎ
GdZ7AT8y,,22.07.21,화이트,FREE,정사이즈예요,보통이에요,화면과 비슷해요,161cm,66kg,상의 66,"면 재질일줄알았는데 약간 일반 면이라기보다는 그 되게 보들보들한데 빨면 살짝 흐물흐물해지는 그런..? 제가 소재 이름을 몰라서..ㅋㅋ큐ㅠ 여튼 그런 재질이었어요 핏은 진짜 완전 맘에듭니다..! 참고로 제 조금 더 자세한 스펙은 가슴둘레 94cm 허리둘레 67cm정도이고요 팔뚝살 ㄹㅇ 엄청납니다 근데 이 옷이 몸통은 쫌 딱붙는편이고(그렇다고 배까지 완전 딱붙진 않아서 뱃살커버도 굿!) 팔은 쫌 널널해서 팔뚝살 커버하기도 좋았어요 아직 빨아져서 나온걸 확인을 못해서 빨래한 다음에 어떤지는 정확히 말씀 못해드리지만 살짝 불안하긴합니다..ㅠㅠ 
아 그리고 길이는 딱 하이웨이스트 바지 입으면 그 뭐라고 표현하지..? 슬릿..? 그 갈라진(?) 브븐 있잖아요 거기서 살이 살짝 보일락 말락 하는데 제가 아무래도 바스트가 있어서 더 올라간게 그정도에요 막 뱃살 보이면 어떡하지 하는 걱정은 안하셔도 될것같아요 
하얀색이고 얇은데도 비침도 많이 심하지 않아서(아마 제기억으로 저거 검은색 브라 입고 입었던것같어요) 좋았는데 한가지 단점.. 그... 좀 민망하긴 한데요 그.. 겨털 조심하셔야 해요..ㅋㅋ큐ㅠㅠ 샤프심..있으시면.. 옷 뚫고 나옵니다.. 모르고 그냥 입고 나갔으면 진짜... 큰일날뻔했어요ㅋㅋㅋ 사진엔 안보이긴 하는데 제가 는으로 봣을때는 걍 완전 심하게 티났어요 조심하세용.."
GdZ7AT8y,,22.07.21,블랙,FREE,정사이즈예요,보통이에요,화면과 비슷해요,161cm,66kg,상의 66,"면 재질일줄알았는데 약간 일반 면이라기보다는 그 되게 보들보들한데 빨면 살짝 흐물흐물해지는 그런..? 제가 소재 이름을 몰라서..ㅋㅋ큐ㅠ 여튼 그런 재질이었어요 핏은 진짜 완전 맘에듭니다..! 참고로 제 조금 더 자세한 스펙은 가슴둘레 94cm 허리둘레 67cm정도이고요 팔뚝살 ㄹㅇ 엄청납니다 근데 이 옷이 몸통은 쫌 딱붙는편이고(그렇다고 배까지 완전 딱붙진 않아서 뱃살커버도 굿! 개인적으로는 쫌만 더 붙었으면 좋았을텐데 조금 아쉽습니다) 팔은 쫌 널널해서 팔뚝살 커버하기도 좋았어요 근데 팔 길이가 살짝 짧긴합니다..ㅠ
아직 빨아져서 나온걸 확인을 못해서 빨래한 다음에 어떤지는 정확히 말씀 못해드리지만 살짝 불안해요..ㅠㅠ 
아 그리고 길이는 딱 하이웨이스트 바지 입으면 그 뭐라고 표현하지..? 슬릿..? 그 갈라진(?) 브븐 있잖아요 거기서 살이 살짝 보일락 말락 하는데 제가 아무래도 바스트가 있어서 더 올라간게 그정도에요 막 뱃살 보이면 어떡하지 하는 걱정은 안하셔도 될것같아요 저기 살 보이는거는 제가 바지때문에 옷 핏이 제대로 안보여서 일부러 내려입은거니까 참고해주세요..!"
SnrctDr0,상위 15%,22.07.12,블랙,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,161cm,59kg,상의 55,여름 기본 반팔로 아주 굳이에요 ! 땀 흡수도 잘되고 크롭티 도전하실 분들한테 좋아요. 사선 디자인이라서 완전 크롭같진 않고 적당한 길이감이에요. 그냥 자주 손이 가서 입고 있습니다!!
uNWR9b7I,,22.06.08,블랙,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,62kg,상의 66,이거 촉감이 되게 부들부들 신기한 느낌이네요! 바스트가 있다 보니 완전 크롭은 좀 부담스러워서 이 정도 기장도 괜찮지만 저도 좀 퍼지는 바지랑 입으려면 넣어 입어야 할 길이네요. 하지만 신축성 좋은 소재라 진짜 너무 너무 너무 편하고 예뻐요! 마르신 분들한테는 좀 애매한 기장일 것 같으니 후기 잘 보고 구매하시기 :)
3jXXQ16r,,24.07.30,화이트_반팔,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,167cm,59kg,상의 66,"아주 맘에 들어요 
입었을때 언발로 짤린부분 중에 짧은곳은 좀 살이 들어나게 돼서 부담스럽지만 긴기장이 배 전체적으로 가려줘서 예쁨
목부분이 조금 더 넓으면 얼굴이 더 작아보일텐데 그게 쫌 아쉽습니다
물론 제가 몸뚱아리가 커서 일수도 .. 뼈대 굵고 166에 얼굴도 큽니다 ,,ㅠ 목 많이 파여서 개방감있어야 길고 큰 얼굴이 보완될텐데 알고있지만 예뻐서 샀어요
목부분 몇번 빨았는데 곧 보풀일어날 것같기도 하고 늘어나보이네요 ,, ㅜ 
티 자체 재질이 엄청 잘늘어나서 확확 땡겨서 그럴지도 몰라요.."
c9fJHgWY,상위 30%,24.06.29,화이트_반팔,FREE,생각보다 커요,보통이에요,화면과 비슷해요,167cm,45kg,상의 44,아무 때나 막 입을 옷이 필요해서 샀어요. 재질은 면일 줄 알았는데 좀 얇으면서 흐물렁거리는..? 뭔가 수영복 재질 같은 그런 느낌 받았어용. 그래서 여름에 더 막 입기 좋을 것 같아요. 리뷰랑 모델착샷 봤을 땐 좀 핏되는 느낌일 줄 알았는데 제 스펙에는 좀 컸어요..! 프린팅도 치우쳐진 것 같지도 않고 첨봤을 땐 저 사선디테일 좀 이상해보였는데 막상 입으면 또 괜찮아서 자주 입을 것 같아용~~
iiji*****,상위 15%,24.06.24,화이트_반팔,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,77kg,상의 88,제가 몸무게가 많이 나가는 편이라 후기들 보고 혹시나 안들어갈까봐 꽉 조일까봐 조마조마 하면서 시켰는데 막상 입어보니 막 조이고 그런게 없었어요!! 77몸무게인 저도 들어가고 헐렁하진 않아도 딱 맞아요!! 근데 제가 살집이 있어서 팔 쪽이 좀 짧아요 그래서 손을 들면 겨드랑이 쪽이 보여서 만약 입으실 분들은 제모 추천합니다.. 저 위로 겨드랑이 털이 삐죽삐죽 나와요..ㅋㅋㅋ 입었을 땐 딱 크롭 기장이었고 재질도 얇아서 완전 시원해요!! 디자인도 너무 맘에 들어요!! 사길 잘한 것 같아요!
vBgZ0C0w,,24.06.02,화이트_반팔,FREE,정사이즈예요,보통이에요,화면과 비슷해요,167cm,48kg,상의 44,"처음 받았을 때 절개된 부분이 뭔가 싼값한다고 생각했는데 막상 입어보니 괜찮았습니당 
그리고 생각보다 프린팅이 가운데가 아니고 한쪽으로 쏠린 느낌이 있었고 재질은 면 느낌은 아니고 부들하고 신축성이 좋은 소재라 잘 늘어날 것 같지만 일단 전반적으로 괜찮습니다"
