아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
묭먀마,상위 25%,24.09.12,화이트,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,43kg,상의 44,"면접용으로 구매했습니다 ! 날씨가 너무 더워서 셔츠말고 다른 것 찾다가 구매했는데, 단정해보이고 덥지도 않아서 좋아요 ㅎㅎ 면접도 잘 봤습니다.
슬랙스랑도 어울리고 치마나 다른 옷이랑도 잘 어울려서 좋아요"
채봉비,,24.06.13,베이지,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,162cm,45kg,상의 44,"진짜 갓성비 옷이네요..! 가격이 저렴해서 딱히 기대 없이 주문했는데 직진배송이라 하루만에 받았고 핏도 너무 예뻐요.. 여름 원단이라 얇아서 시원하고 스판이 들어있어서 쫀쫀해요!! 저는 다른 컬러 쟁이러 갑니다,,🤍"
wY3tB6My,,24.11.02,베이지,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,170cm,53kg,상의 55,나만 입을것이야.. 목이 짧아도 입을 수 있는 반목티입니다 일단 허리부분이 막 잡히는 핏이 아니라 배가 나와도 걱정이 없구요.. 있어보임 왜인진 모르겠지만 도시사람같음. 아래에 아무거나 받쳐입기 좋구.. 질도 나쁘지 않구.. 전 깔별로 쟁일것입니다….여름에 이것만 입을 것이야…
dysQTepS,상위 10%,24.10.23,블랙,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,55kg,상의 55,촉감이 되게 부드럽구요 여름 반팔티 특유의 후줄근한 느낌이 없어서 출근룩으로 딱이에요 목이 짧은 편인데 반목이라 전혀 답답해보이는 것도 없구요 근데 앞뒤가 원래 없는 건지 헷갈려서 목만 끼우고 빙빙 돌려서 입게 돼요ㅋㅋㅋ
김밥다,탑리뷰어,24.10.21,화이트,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,159cm,52kg,상의 55,"가을 아우터 안에 입을 티셔츠가 필요해서 요제품 구매했어요 - !

총평: ⭐️⭐️⭐️⭐️⭐️

[사이즈&기장]
159/52기준
- free사이즈인데 말랑찰떡 잘 맞았어요😉
- 소매도 겨드랑이 가려주는 기장이라 너무 좋았고, 하이웨스트 하의 입으면 안에 쏙 넣을 수 있는 기장감입니다 !
- 반목인데 딱 붙지않는 핏이라 답답하지 않아요👍

[색상&소재]
- 눈 아픈 쨍한 화이트가 아니라 예쁜 화이트 컬러입니다!
- 부들부들 소재라서 맨 몸에 입어도 자극없습니다🌸
- 그리고 잘 늘어나서 활동하기에 너무 편합니다,,🫶🏻

[디테일]
핏.예.술.입.니.다.
마감처리도 괜찮고, 공장냄새도 없어요✨
나시없이 입었는데 화이트컬러치고 비침이 적어서 좋아요 :)))

[배송]
당일발송이라 그런지 빨리 왔습니다⚡️⚡️

전체적으로 기장-핏-색
삼박자가 딱 맞아 이거 안사면 후회ㅜㅜ

가격도 너무 착하잖아요😂🩵

메이글 사랑해🌤️"
Rise,탑리뷰어,24.10.19,베이지,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,50kg,상의 55,"2번째 재구매템입니다
전에 산 제품이 너무 마음에 들어서
엄마도 한벌 사셨습니다

팔뚝살이나 옆구리살 커버도 다 되면서
여성스러운 분위를 주는 옷입니다
특히 골드 목걸이랑 입으면 잘 어울릴 것 같아요

색상은 사진처럼 살짝 탁한 아이보리색입니다"
윤하잉,상위 10%,24.08.24,블랙,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,164cm,55kg,상의 55,"소재 완전 보들부들하고 좋아요!! 
목 올라오는 티라 아무래도 한여름에 덥긴 하겠지먼 멀 입어도 더우니깐,, 그냥 입을게요 ㅎㅎ 핏도 존예 ㅠㅠㅠ 다른 색도 살거같아요"
A1hBPaSp,상위 10%,24.10.11,베이지,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,43kg,상의 55,하객룩이 위아래 블랙이라 좀 밝은 걸로 급하게 안에 입을 옷 찾고있었는데 이거 진짜 너무 만족스러워요!! 집에있는 화이트랑 베이지 옷들 비교샷보면 흰색이랑 베이지 사이 톤이에요 아이보리? 색상! 얼굴이 하얀편은 아닌데 봄라이트여서 이 색 입으니까 잘 어울렸어요!! 그리고 진짜 부드럽고 길이감도 딱이고 저 반ㅂ목이 잘 안어울리는디 이건 목부분도 목을 많이 가리지 않아서 목 짧은 분들도 괜찮으실 것 같아요! 머리묶으면 진짜 단아컨셉 굿굿. 블랙이랑 화이트도 구매할라구요>♡<
rrMBRxTe,,24.10.09,베이지,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,56kg,상의 55,"블랙사고 너무 예뻐서 베이지도 구매했어요~~~ㅋ
검정 치마가 많은데 너무 잘 어울립니다.
찬바람이 살짝 날것같아 그냥 목티는 답답하고 루즈핏으로 반목찾았는데 완전 딱이예요~
원단도 부드럽고 몸에 감기는 느낌이 너무 좋아요~
겉에 가디건이나 자켓걸치고 10월까지는 잘 입을 수 있겠어요~
다른 색상도 있으면 또 구매하고 싶네요 ㅎ"
rrMBRxTe,,24.10.09,블랙,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,56kg,상의 55,"편안한 반목 찾고 있었는데 딱입니다.
목도 조이지 않고 루즈하게 편안해요
원단은 부드럽고 자연스럽게 흐르는 핏이라 더 예뻐보입니다.
캡소매로 어깨넓은것도 보완해주고 팔뚝살도 커버되어 요즘 날씨에 딱이예요~
다른 색상도 주문해야겠어요 ㅎㅎ"
ppdmCFEr,상위 10%,24.10.06,베이지,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,45kg,상의 55,부들부들한 촉감이 너무 좋구요.. 핏도 너무 붙지는 않으면서 적당히 여리여리한 여유핏이라 너무너무 이뻐요ㅠㅠ 깔별로 쟁이려다가 참았어요.. 심플하면서도 적당히 꾸민 느낌이라 포인트가 되는 옷이에요.
응재미,상위 10%,24.10.06,화이트,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,54kg,상의 55,"붙는 스타일이라서 슬림해보이게 해줘요!
군살은 안 보이면서 슬림하게 만드는 아주 맘에 쏙 드는 
아이입니당!!
팔길이도 팔뚝 둥그런 부분만 잘 가려서 얇아보이고 소재는 너무 얇지도 두껍지도 않아서 가을에 딱이에여>_<"
Rise,탑리뷰어,24.10.05,블랙,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,50kg,상의 55,"바스트가 크고 통통한 체형입니다
터틀넥 기본티를 원하신다면 여기입니다

캡소매가 너무 짧지 않아서 딱 예쁘게 팔뚝살을 가려주고
소재도 탄탄하면서 라인도 예쁘게 잡아줍니다
전반적으로 여성스러우면서 고급진 분위기를 만들어줘요🩶
직진배송인만큼 배송도 굉장히 빠릅니다

이 퀄리티에 이 가격인게 말이 안될만큼 만족스러운 제품입니다
정말 쟁여두고 싶을만큼 마음에 들어요
제가 지그재그에서 산 상품중 제일 만족합니다🖤"
KMsoWii9,상위 15%,24.10.04,베이지,FREE,정사이즈예요,보통이에요,화면과 비슷해요,152cm,50kg,상의 44,"생각보다 핏이 이뻐요!! 전 키가 작아서 옷사기 전에 고민을 많이 했는데 고민할 필요가 없어요~ 그냥 사세용
베이지는 쿨톤 웜톤이든 잘 올리는 베이지입니다💗
날씬해 보이고 뭔가 부위기 생겨요!
맘에 들어요 
(오늘 블랙으로 재구매했음)"
김얌얌,상위 5%,24.10.03,베이지,FREE,생각보다 커요,보통이에요,화면보다 어두워요,163cm,45kg,상의 44,검정색과 베이지 두 개를 샀는데 확실히 밝은 색이 저렴한 티가 나네요ㅠㅠ 그래도 가격이 매우 착하기 때문에 잘 입을 수 있습니다. 비슷한 디자인들이 많은데 여기서 구매하길 너무 잘한 것 같아요~~
0910****,상위 25%,24.10.02,블랙,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,167cm,49kg,상의 44,"적당히 부들한 면소재고 그냥 단독으로 입어도 까슬거리지 않아서 좋아요
청바지나 슬랙스에 입으면 꾸안꾸로 딱 예쁠 것 같아요 ㅎㅎ
근데 이제 날 추워져서 반팔만 입긴 힘들 것 같고 아우터 필수일 듯해요 ㅠ 더 빨리 살걸 ㄹ아쉬워요"
복뚱이,상위 5%,24.10.01,베이지,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,162cm,55kg,상의 55,"베이직 색상 구매했는게 목 부분이 넓어서 목은 편한데 
한 어깨하는데도 어깨가 좁아(?)보이네요 ㅋㅋㅋ
재질은 좋아요. 딱 초가을에 괜찮을 소재고 
색상도 잘 나왔습니다. 갈색 스커트에 딱 예쁠 색상이에요.
어깨 좁은 분들껜 안어울릴듯...ㅎㅎㅎ 예쁩니다."
김얌얌,상위 5%,24.09.30,블랙,FREE,생각보다 커요,아주 만족해요,화면보다 밝아요,163cm,45kg,상의 44,"1. 사이즈: 162/44 기준으로 적당히 잘 맞습니다. 타이트할 줄 알았는데 생각보다는 여유있었어요!(상체가 마른편임) 허리가 길지도 짧지도 않아서 길이는 적당합니다. 그런데 허리를 타이트하게 잡아주지는 않아요.
+) 일부러 팔소매가 짧은 걸 원했는데 딱 예쁘게 떨어져요. 소매끝이 뾰족하게 넓어져서 팔뚝 커버 완전 가능한!

2. 색 : 무난한 검정색인데 뭔가 살짝 밝은 느낌이에요

3. 두께 및 재질 : 천은 부드럽고 잘 늘어나요. 두께가 좀 있어서 한여름은 실내활동만 가능할 것 같아요. 통풍은 안 됩니다. 초가을에 입을만한 두께에요.

4. 총평 : 가격대비 너무 좋습니다!! 두 장 사길 잘한 것 같아요~ 세탁은 자주 하면 안될 듯ㅠ"
뀨쮸쀼쮸,상위 25%,24.09.29,베이지,FREE,작아요,아주 만족해요,화면과 비슷해요,161cm,63kg,상의 66,"갑상선 수술때문에 목 상처가 자외선에 노출되면 안좋대서 급하게 구매했어요 .
저렴한데도 리뷰가 좋길래 속는셈치고 구매해봤는데, 진짜 부들부들하고 너무 좋더라구요..! 
까슬까슬한거 못 입는 편이라 아주 대만족.
다만 저같은 학 뚱띠들은 조금 부담스러울 수 있음 주의. 저녁에는 셔츠 하나 걸치면 되긴해서 딱 좋아용❤️"
리뷰하는몬땃,상위 25%,24.09.25,베이지,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,167cm,52kg,상의 55,"블랙에 이어 또 사뜸...☆ 라인이 너무 예쁘고 클래식 캐쥬얼 다 잡아서 손색이 없습니당
저는 까슬까슬한거 진짜 시러하는데 이건 완전 부들부들 스타일 면이라 그것도 추천! 
딱 붙는 옷도 아니라 뱃살 드러날 일도 없어요 여러모로 짝짝짝 박수 오만번 주는 옷입니다~"
