아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
EJxrnzVU,,22.09.24,화이트그레이,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,64kg,상의 66,옷 너무 예뻐요! 딱 생각했던 그 옷이고 사진이랑 똑같아요 다들 말하는 것처럼 소매가 좀 길고 제 기준 좀 타이트해요 말라인간들 입으면 그런건 못 느낄 것 같구 소매는 이런식으로 접어서 입거나 소매 덮어서 입거나 하면 돼요! 넘나리 예뿜..❤️
wjd3******,,24.01.16,화이트그레이,노기모 FREE,정사이즈예요,보통이에요,화면과 비슷해요,152cm,39kg,상의 44,"시보리가 아주 짱짱해요.
제가 체구가 작아서 그런지 목 부분이 너무 헐렁해서 안에 흰 티를 받쳐 입어야 할 것 같아요.
팔은 반 접으니까 딱이에요.
왜인지는 모르겠는데 핏이 굉장히 애매~합니다...
만세하면 갈비뼈 바로 밑까지 올라감당...ㅋㅋㅋ"
jls1w6B4,,23.04.19,화이트그레이,노기모 FREE,작아요,아주 만족해요,화면과 비슷해요,168cm,68kg,상의 77,"몰랏는데 손목에 시보리가 왤케길죠? 접어서입엇어요 ㅋㅋㅋㅋ 외계인같아보여서
이고 지금시기아니면거워서못입을든 두껍고재질좋은데 초봄 가을 재질이에요 24도 벚꽃구경할때배에땀나는줄 ㅜㅜ 기장이약간좀더짧앗으면좋겟다 이상!"
D0hDeIXT,,23.04.05,화이트그레이,노기모 FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,162cm,45kg,상의 44,"확실히 저렴이 옷들보다 탄탄해보여 좋아요
오자마자 입어보고 세탁 후 사진 찍었더니 주름이 많네요ㅠㅠ
리뷰 보니까 소매를 반 접으신 분들이 많던데 전 그냥 소매가 안으로 들어가게끔 어깨부터 팔 부분을 좀 더 내려서 입었어용 근데 좀만 움직이면 다시 소매가 튀어나와요ㅎㅎ
그리고 넥카라가 많이 벌어져서 약간 애매(?)하네요.. 좀 더 입어보면서 정리해봐야겠어요~"
zEtThXDv,,23.02.07,화이트그레이,노기모 FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,148cm,58kg,상의 66,"색깔은 모델시착한 색이랑 같았어요. 키가 작으니… 전 상체에 딱 맞는 길이가 됐습니다 크롭은 아닌기분 따지자면 세미크롭? 팔목부분이랑 밑단부분이 쫀쫀하고 조인다는 기분은 안들어요. 근데 너무길어서 정말 한 번 접어야 하구요.
어깨핏이 좀 그럽니다 에매한데에 있어서 부해보여요ㅋㅋㅋ.."
5q5Kc2Qw,,23.02.01,화이트그레이,노기모 FREE,정사이즈예요,보통이에요,화면과 비슷해요,163cm,65kg,상의 66,"팔이 좀 애매하게 떨어져서 떡대가 조금 있어보이나,, 뭐 괜찮은것 같아요 손목 굉장히 쫀쫀하다못해 조이구요,, 허리는 팔들면 슉 올라가요,, 배에 힘 꽉 주고 있어야해요
손목에 틴트 자국 같은게 있던데,, 그냥 사진 첨부 안했어요"
zDDYECR3,상위 10%,23.01.26,화이트그레이,노기모 FREE,작아요,보통이에요,화면과 비슷해요,171cm,64kg,상의 66,"생각했던 것보다 기장은 짧고 팔은 길고ㅋㅋㅋ 학생같아요
크롭 좋아해서 추리닝에 여기저기 편하게 입을 것 같긴 한데 막 엄청 좋다 퀄리티 쩐다 이렇진 않아요
식초냄새 조금 나요
가슴쪽이 조금 더 파였으면 좋겠네욘"
AMNOho2e,,23.01.25,화이트그레이,노기모 FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,161cm,52kg,상의 55,"소매단이 다른 리뷰에서 처럼 반을 접어야 보통의 소맷단과 같아요 ㅎㅎ 그래도 짱짱해서 잘 입
을 수 있을거 같아요. 
목부분도 흐물흐물한 편은 아니라서 자주 입을 수 있겠어요! 
배송사 실수로 배송이 늦어졌는데 바로 조치 취해주셔서 바로 받아볼 수 있었습니다 감사합니다:)"
qoXRyCHD,상위 20%,23.01.17,화이트그레이,노기모 FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,56kg,상의 55,"부해보이거나 팔이 너무 길다는 후기를 봐서 걱정했는데 걱정할 필요가 없을만큼 이쁩니다!! 소매는 길긴하지만 리뷰들처럼 반 접으면 딱 괜찮고 허리 잡아줘서 부해보이지 않아요! 고민하는 시간은 구매시간만 미룰뿐,,, 봄에도 단독으로 입기 딱 좋습니다ㅠㅠ"
Vk7Syu6Z,,23.01.03,화이트그레이,노기모 FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,161cm,54kg,상의 55,넘 예뿌고 튼튼해요..ᰔ 색 딱 예쁘고 밑에 고무줄 완전 잘 잡아줘요! 입다가 살짝 늘어나면 딱 좋게 될 것 같아서 너무 만족합니다!! 팔도 긴편이라 옷이 딱 괜찮았어요ㅎㅎ 살짝 오버핏으로 입으려고 샀는데 팔 벙벙해서 어깨 넓은데 좁아보입니다.. 어깡들 다 사세요..💟
