아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
,,,,,,,,,,,
Ap7muhQW,상위 10%,24.01.27,기본ver.,오트밀(FREE),정사이즈예요,아주 만족해요,화면과 비슷해요,169cm,60kg,상의 66,"상세컷과 동일합니다
55반~66 입는데 핏도 적당하고
요즘 크롭이 많은데 이 옷은
정말 ‘데일리’, ‘적당함’이라는 단어와 잘 어울리는 옷이에요.

살짝 새 옷 냄새가 나지만 참을 수 있는 정도고
금방 빠질 거 같아요 저는 받자마자 입고 나갑니다 

오트밀색상은 형광등 밑에선 약간의 푸른빛이 띄어요
색상은 아마 그레이가 제일 예쁠 거 같은데, 오트밀도 매력 있어요 ㅎㅎ 브이넥과 작은 로고도 굿 !"
55QMVeu7,,25.01.11,기모ver.,그레이(FREE),생각보다 커요,아주 만족해요,화면과 비슷해요,157cm,44kg,상의 44,"55가 안되는 여중생 착용
사진에는 뭔가 검은 도트같은 게 보이는데
그냥 막 입기 좋은 회색 티셔츠에요
기모도 있고 두께감 있어서 따뜻하다네요
다만 브이넥이라 안에 티셔츠를 입어야 해요
그리고 로고도 크지 않고 자수라서 맘에 듭니다"
하이하닝,탑리뷰어,24.12.29,기본ver.,오트밀(FREE),정사이즈예요,보통이에요,화면과 비슷해요,160cm,50kg,상의 55,"160/50, 팔 짧은 편인데 저한테 팔길이 딱 좋아요
안감은 약간 수건같은? 재질이라 막 부드럽진 않은데 쿠폰 사용해서 엄청 저렴하게 구매했던거라서 무난하게 만족하면서 입고 있어요!

색상도 괜찮고 브이넥도 너무 깊게 파진 스타일 아니어서 그냥 딱 브이넥 기본 맨투맨으로 입고 있습니당

길이도 저한테는 크롭도 아니고 그렇다고 너무 길지도 않고 밑단 시보리가 짱짱한 편은 아니지만 길이가 골반라인에 알맞게 떨어져서 옷매무새 만져주지 않아도 그냥 가볍게 툭 입기 좋아서 집 앞에 잠깐 나가거나 할 때 잘 입고 있어요!

전체적으로 만족합니다!"
jiho******,상위 10%,24.12.02,기모ver.,그레이(FREE),생각보다 커요,아주 만족해요,화면과 비슷해요,171cm,54kg,상의 55,"기모도 도톰하고 퀄리티도 괜찮네욤:)
키 171기준 허리에서 살짝 내려오고 너무 짧지 않아요.
품은 생각보다 좀 크긴한데 속에 반팔 레이어드 해서 입을거라 괜찮을 것 같아요.
엄마도 입어보시고 맘에 들어하셔서 엄마껄로 블랙 추가구매 하러 갑니다~~"
i8gVrVNi,상위 5%,25.01.06,기모ver.,그레이(FREE),생각보다 커요,보통이에요,화면과 비슷해요,164cm,57kg,상의 55,"여리여리한 핏을 생각했는데 기모버전을 선택해서 그런가 생각보다 좀 부한 핏이 나와요! 
어깨선이 많이 내려가있어서 그런것 같기도 하구용~ 
다른 리뷰들 보니 기본 버전이 덜 부해보이는 것 같습니당..!"
아뇨,상위 10%,24.12.09,기본ver.,오트밀(FREE),정사이즈예요,아주 만족해요,화면과 비슷해요,156cm,54kg,상의 55,"후기가 늦었지만 편하게 입고 나가기 좋아서 가을 내내 잘 입었어요 !! 
날씨가 팍 추워져서 지금은 롱패딩 안에..? 입음 괜찮을 것 같기도 하구 안에 뭐 껴입으면 겨울에도 잘 입을 것 같아요 ~~ 
기장은 156 기준 딱 골반 정도인 것 같습니다 !"
yh1HhnTV,상위 15%,24.10.11,기본ver.,그레이(FREE),생각보다 커요,아주 만족해요,화면과 비슷해요,158cm,65kg,상의 66,"진짜 이쁘다는 말 많이듣고 정말 맘에 들어서 블랙도 주문했어요..!
요즘 날씨에 입기 딱 좋고 기장감도 품도 좋아요!
브이넥이 좁지도 넓지도 않게 적당하니 매일 입고싶은 옷입니다..! 제주여행 가서도 아주 잘 입었고 굿입니당"
dga9***,,24.09.27,기본ver.,오트밀(FREE),생각보다 커요,아주 만족해요,화면과 비슷해요,159cm,52kg,상의 55,"- 159, 엉덩이 살짝 반이면서 걸치는 느낌
- 적당한 브이넥으로 이너 없이 입어도 될 듯
- 소매 잡아줘서 좋음
- 소매랑 허리 잡아주는데 전체적으로 큰 느낌이라 아무때나 편하게 입기 좋을 듯
- 사람 체형따라 잘못하면 부해보일 거 같기도?"
masr4u9i,상위 30%,24.11.12,기본ver.,오트밀(FREE),정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,58kg,상의 66,"딱 원하던 색상이라 좋아요
근데 안에는 까칠까칠해서 피부 예민하신 분은 조금 신경쓰일 수 있어서 참고하시길 바래요
손 번쩍 들면 배보일 정도인데 그냥 있으면 딱 적당한 길이입니다"
