아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
Euni,상위 1%,24.12.24,크림,해당없음,생각보다 커요,아주 만족해요,화면과 비슷해요,154cm,53kg,상의 44,"그냥 무난한 ?? 흔한? 평범한 ? 오버핏 맨투맨 입니다 !
154기준 엉덩이 덮는정도 ? 근데 막 내려입는게 아닌이상 그냥 자연스업게 골방에 걸쳐져요

팔은 좀 길긴하더라구요

색상은 3번이 좀 비슷해요
살짣 연노랑끼가 한방울 들어간 크림색상 입니당 !"
ts36Qhls,상위 5%,24.12.10,노랑,해당없음,생각보다 커요,아주 만족해요,화면과 비슷해요,,,,"색감이 완전 병아리색이에요.
저는 이런 연한 노란색이 잘받아서 구매했는데 완전 마음에들어요! 
저한테는 조금 커서 조금 박스핏으로 입어야할것같네요! 참고로 저는 166cm입니다 ㅎㅎ 
안에 기모도 두툼한 편이라서 이가격에 잘 샀다고생각이 됩니다. 재질은 보들보들하고 막 엄청 싼 재질은 아니에요!"
fNHoDFYI,상위 20%,24.12.05,크림,해당없음,생각보다 커요,아주 만족해요,화면과 비슷해요,160cm,50kg,상의 55,동글동글하고 폭닥한 기모 맨투맨이 사고싶어서 찾아다녔어요. 옷이 품이 큰 건 알고 있었어서 마음의 준비는 했는데 생각보다 더 넉넉한 사이즈네요! 그치만 시보리가 있어서 오버핏으로 입기에 좋습니다. 크림색 딱 마음에 들고 핏이 동그래서 귀여워요. 기모는 적당한 기모입니다. 요즘 많이 나오는 저렴한 맨투맨 얇은 기모 아니에요. 아래 시보리 안으로 접어서 입는게 더 예쁜 것 같아요!!
손공이에요,상위 1%,24.12.04,먹색,해당없음,생각보다 커요,아주 만족해요,화면과 비슷해요,168cm,50kg,상의 55,"남녀공용이라 많이넉넉하네요 ~~ 키가커서 그런지 입어도 안이상했아요 ㅋㅋ 오버핏 좋아하면 추천 합니다 ㅎㅎ 
검정색 옷이 너무 많아서 먹색 했어요🩶🩶 
먹색 이뻐요 !!! 기모 있어서 따뜻하고 촉감이 부드러워서 넘 좋네요 !! 잘입어질거같아요 🖤 추천 추천 ㅎㅎ"
kQpOnaqK,상위 25%,24.11.27,살구,하늘색,생각보다 커요,아주 만족해요,화면과 비슷해요,153cm,53kg,상의 66,팔이 길긴한데 전체적으로 만족합니다. 건조기 돌렸더니 목이 쭈글거리네요 😭 도톰한 맨투맨 이 가격에 이 퀄리티면 사야죠~ 4개 질렀는데 색 다 만족스럽습니다. 깔별로 다 사고싶지만.. 참는걸로..
우사기32,상위 10%,24.11.14,연소라,해당없음,생각보다 커요,아주 만족해요,화면과 비슷해요,158cm,47kg,상의 44,"장점 : 색깔 너무 예쁘고 청바지에 잘어울려요 안감 부드럽고 따뜻해요

단점 : 오버핏이라는건 알고 있었는데 상체가 작고 팔도 짧은 편이라 좀 많이 커요..158 기준으로 엉덩이 다 덮고 팔도 안 걷어주면 손이 사라진다는점"
YuraZAv1,상위 10%,24.10.18,핑크,크림,생각보다 커요,아주 만족해요,화면과 비슷해요,170cm,53kg,상의 55,"바지 입었습니당
폭이 큰건 알았고 기장이 애매하게 떨어질까봐 걱정이었는데 완전 만족입니다👍
키가 큰데도 아방핏 제대로 나옵니다
색감 너무 예쁘고ㅜ
재질도 두툼 폭닥 그 자체 겨울 교복 될듯"
꼼댕,상위 15%,24.11.26,진소라,해당없음,생각보다 커요,보통이에요,화면과 비슷해요,158cm,51kg,,"첫번째 사진과 실제 색감이 비슷해오!
색감은 진짜 잘 나와서 맘에 들어요 ㅠㅠ
157기준 맨투맨은 큰 편이에요! 엉덩이 다 가릴정도!
하지만 저는 레깅스와 입을 예정이라 딱 제가 원한 길에요 ㅎㅎ 크게 입는거 싫으신분들에겐 비추..!"
nhn0eCdP,상위 25%,24.12.19,핑크,해당없음,생각보다 커요,보통이에요,화면과 비슷해요,158cm,58kg,상의 66,"후기 보고 샀는데,
촉감이 폭신폭신하고 부드러운 느낌이라 일단 맘에 들었어요.
 오버핏이라서 휘뚜르마뜨루 입기도 좋아요~(다만 오버핏 좋아하지 않는 사람은 비추에요)"
3mi7bc44,상위 25%,24.11.08,노랑,살구,생각보다 커요,아주 만족해요,화면과 비슷해요,163cm,43kg,상의 44,"두툼하고 보드라움 제법 따셔요ㅋ
소매부분 찍은게 실색상에 가깝고 노란색은 생각보다 옅은 레몬색인데 나름 예쁨
깔별로 소장하고 싶을만큼 괜찮네요 
소매에 뽕실하게 셔링있는것도 맘에듦"
JpRliKSp,,22.12.15,핑크,연소라,생각보다 커요,보통이에요,화면과 비슷해요,154cm,51kg,상의 55,"옷은 이뻐요.. 
근데 저 이렇게 포장상태 그지같은 택배 처음 받아봐요ㅡㅡ 택배포장비닐 그냥 테이프로 찍찍 감아놓고 옷 포장된 비닐은 옷 빼는데 다 찢겨있고 밀봉 안대서 안에 옷 그냥 쑥 빠져서 누가 반품한거 보낸 느낌나네요…. 
옷에도 먼지 같은거 엄청 묻어있고 핑크색 옷에 검정 얼룩같은거 잇는데 사진으로 안보이네요.. 빨면 없어질 것 같아서 그냥 입는데… 
옷 맘에 들면 다른색으로 더 시키려다가 배송 온 상태 보고 접었습니다…."
딩굴딩굴딩구르르,,24.12.07,연회색,오트밀,생각보다 커요,아주 만족해요,화면과 비슷해요,158cm,58kg,상의 66,"커플룩으로 입으려고 구매햇어요 ~ 저한테는 오버핏으로 남자친구가 동글동글 귀엽다고 하네요 ㅎㅎ
남자친구는 178에 몸무게는 70대 후반인데요 어깨가 넓은편임에도 불구하고 넉넉하게 잘 맞습니다. 길이는 엉덩이?까지 오네요 ~ 추가구매한 4가지 컬라도 얼른 입고되서 받아봣으면 좋겟습니다 >_<"
R9x0UOQT,,24.12.03,핑크,해당없음,생각보다 커요,보통이에요,화면과 비슷해요,158cm,78kg,상의 66,"작년에 아이보리 사고 엄청엄청 잘입었어서 핑크도 데려왔습니댱 핏은 제가 살이 많은데도 아방합니당
안에 기모도 포근해용 근데 처음에 내부 보풀 제거 까먹고 안햇더니 이너에 난리가 났네여 ㅠㅠ 꼭꼭 돌돌이 하고 입으시길.."
euni****,상위 20%,24.11.28,핑크,해당없음,생각보다 커요,아주 만족해요,화면과 비슷해요,173cm,52kg,상의 55,색깔있는 옷이랑 오버핏 잘 안입는데 색이 너무 예뻐보여서 구매했어요. 키가 큰 편인데도 편하게 잘 맞고 부해보이지 않아서 만족합니다! ㅎㅎ
mmexhB6p,상위 1%,24.11.21,검정,크림,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,59kg,상의 66,두툼하니 엄청 따뜻하고 겨울내내 잘입을 것 같아요. 하지만 뭔가 목부분이 금방 늘어날 것 같은 느낌 ㅎㅎ.. 조심히 잘 입어야할 것 같아요. 사이즈는 적당한 오버핏 입니다. 색깔도 화면이랑 똑같아요~
LVSyEufO,상위 10%,24.11.19,연소라,핑크,생각보다 커요,아주 만족해요,화면과 비슷해요,157cm,46kg,상의 44,"커플룩으로 입으려고 연소라 핑크 두장 구매했어요~
핑크는 완전 딸기우유색이랑 비슷해요
핏도 적당히 아방해서 입으면 귀엽게 보여요><
안에 기모도 있어서 지금부터 겨울동안 따뜻하게 입을것 같아요~
 데일리로 입기 아주 좋아요!"
zPeX3WwN,상위 15%,24.11.12,노랑,해당없음,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,53kg,상의 55,"딱 제가 원하던 색상이에요~
가족 커플룩으로 입으려고 비슷한 색상을 찾았는데 아주 찰떡이네요ㅋㅋ 두께감이 있어서 겨울에 입기에도 좋을거 같아요. 잘 입을게요^^
직진배송이라 주문하고 다음날 받았어요👍👍"
푸우밍,상위 5%,24.11.06,빨강,해당없음,생각보다 커요,아주 만족해요,화면과 비슷해요,158cm,53kg,상의 55,봄웜이라면 무조건 어울릴 레드.. 너모맘에듭니다!! 이뻐요ㅠㅜ 이렇게 포인트되는 맨투맨은 처음사봤는데 넘 조와요ㅎㅎ 그리구 기모도 부들부들 좋습니다 근데 생각보다 많이크고요 ㅋㅋㅋㅋ 근데 한가지 아쉬운점은 구김이 잘 가더라고요 입고 다니다보면 괜찮긴하지만 암튼 살짝쿵 아쉬운건 그거였어요 그외엔 모두 대만족입니다!!
QdqJ2n3r,상위 15%,24.10.12,연소라,노랑,생각보다 커요,아주 만족해요,화면과 비슷해요,160cm,30kg 이하,상의 66,"오버핏에 기모안감이라 저녁에 단독으로 입어도 따뜻하고 겨울에는 여기에 패딩 하나 걸치면 든든할것 같습니다
색감도 파스텔톤으로 산뜻하네요ㅎㅎ"
soyu19,탑리뷰어,24.10.16,크림,연회색,생각보다 커요,아주 만족해요,화면과 비슷해요,162cm,48kg,상의 55,"보들보들 촉감도 좋고 내부에 먼지도 많이
안붙을거 같구요!!
박시하고 아방한핏이 너무 귀엽네요~~
 따뜻하게 잘 입을게요!!"
Um1UZ20v,상위 15%,23.12.12,핑크,해당없음,생각보다 커요,아주 만족해요,화면과 비슷해요,158cm,55kg,상의 55,크치마 후드에 반해서 맨투맨도 사버렸네요😁 넘 이쁜 핑크색이에요ㅎㅎ촌스럽지않고 따뜻한컬러🩷 남녀공용이라 살짝 오버핏느낌이 들긴하지만 딱맞는거보다 더 좋아요ㅎㅎ 배송받고 핏팅해볼때 기모안감이 날아다니는듯하더라구요. 뒤집어서 단독세탁하구 입었더니 좀 덜해요:)
6rhLe4Qh,,23.12.11,오트밀,해당없음,생각보다 커요,아주 만족해요,화면과 비슷해요,163cm,55kg,상의 55,"맨투맨 오버핏이고 색은 딱 예쁜 오트밀이에요 
안에 기모라서 보들보들하고 여리여리한 핏 가능입니다 :) 
편한데 예쁘기까지해요 
길이는 위에가 오버핏이라서 좀 길게 내려오는데
살짝만 넣어줘도 예쁘게 떨어져서 
살짝 넣어입어도 예쁘고 
편하게 입을때 편한 바지랑 편하게 입을수도 
있을것같아여 예쁩니당"
rlad******,상위 5%,23.12.03,연소라,해당없음,생각보다 커요,보통이에요,화면과 비슷해요,155cm,48kg,상의 55,"완전 오버핏을 좋아하시는 분들은 좋아하실 거 같아요.. 남녀공용이라서 많이 큽니다! 그래도 색감도 너무 잘나왔고 두툼한 옷을 찾고있었어서 휘뚜루마뚜루 입으려고요!
시보리가 짱짱해서 너무 흘러내리지 않아서 사이즈가 커도 편하게 입을거 같네요"
