아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
I35RJcwn,,21.11.09,오트밀,기모,생각보다 커요,보통이에요,화면과 비슷해요,165cm,55kg,상의 55,"바지가…안왔…
바지가 궁금했는데.. 생각보다 빨리온다 생각했더니 열어보니 윗도리만 있네요 허허.. 
많이 큽니다 오버오버핏이에요
두툼하니 엄청뜨시네요"
4pkyPWwv,,21.10.25,메란지,기모,생각보다 커요,보통이에요,화면과 비슷해요,163cm,49kg,상의 55,"바지는 사이즈 딱이였는데 맨투맨은 너무 길어서 안에 입은 이너롱티가 안보여요ㅜㅜ 일부러 롱티두 완전 긴거 입었는데,, 그래두 따뜻해요 진짜"
5D4tUwcE,,21.09.30,아이보리,일반,정사이즈예요,보통이에요,화면과 비슷해요,,,,"메이드 제품 세번째 구매에요 ㅋㅋㅋ
역시 아이보리는 관리 힘들지만 ㅠㅠ 이뻐요 그래도
잘입을게요!"
러브직잭러브,상위 20%,21.03.10,오트밀,일반,정사이즈예요,보통이에요,화면과 비슷해요,170cm,50kg,상의 44,한번 빨고나니까 엄청 구겨져서 개털이 되더라구요. 위에 천 얹고 다림질하니까 나아지긴 했는데 세탁할때마다 다림질해야할듯
ubESK2hI,상위 15%,21.01.08,아이보리,기모,생각보다 커요,보통이에요,화면과 비슷해요,170cm,53kg,상의 55,귀여워요 박시한데 딱 원하던핏이에요 기모 부드럽고 따듯하고 촉감좋아오
3hzzRdM1,,21.01.03,블랙,기모,생각보다 커요,보통이에요,화면과 비슷해요,167cm,55kg,상의 55,배송이 한 18일..?만에 왔어요ㅎㅎ 그래도 옷은 기모도 따뜻하고 도톰해서 좋아요. 근데 큰 느낌이 좀 있습니다
5bg2wnMy,,20.12.31,메란지,기모,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,50kg,상의 55,"약간 오버핏인데 안에 기모여서 따뜻하고
색도 화사한 그레이여서 이쁨 ㅠ"
yhz9***,,20.12.30,오트밀,기모,생각보다 커요,보통이에요,화면과 비슷해요,,,,친구에게 사줬는데 마른체형이라 그런지 사이즈가 너무크다고 하네요 그거말고 색은 이뻐요!
qgyLxOZ8,,20.12.26,블랙,기모,정사이즈예요,보통이에요,화면과 비슷해요,162cm,47kg,상의 55,블랙 맨투맨 세트로 입고싶었는데 딱 나와서 바로 구매했어요 ㅎㅎ 어깨라인이 예쁘게 잡혀서 좋아용
IMfINFFu,,20.12.23,그레이,기모,정사이즈예요,아주 만족해요,화면과 비슷해요,165cm,52kg,상의 55,배송은 좀 느렸어요 포기하고있으니까 도착했네요 기모아닌버전사고 이번에 기모로산건데 확실히 더 따뜻하고 탄탄?해요
nFsQ1wAw,상위 30%,20.12.18,아이보리,기모,생각보다 커요,보통이에요,화면보다 밝아요,,,,"완전한 화이트색상이구요
안에 기모라 따뜻해요!^^
사이즈는 박시한 편이라 사이즈구애없이 입으실수있을거같아요!"
9fo74hMY,,20.11.30,메란지,기모 없음,생각보다 커요,보통이에요,화면보다 밝아요,,,,"시보리 짱짱한게 좋은데, 제껀 거의 없나봐요.. 원하는 핏대로 안되구 자꾸 흘러내림 ㅠ 그래두 편하게 잘 입을거 같아요"
U5X2JhhW,,20.11.09,챠콜,,정사이즈예요,보통이에요,화면과 비슷해요,157cm,47kg,상의 55,"보라색 구매하고 마음에 들어서 차콜도 구매했는데, 생각보다 손이 안가긴 한것 같아요. 그냥 편하게 입으려고여 :)"
inmQT2PF,,20.10.31,메란지,,생각보다 커요,보통이에요,화면과 비슷해요,164cm,51kg,상의 55,생각했던거보다 사이즈가 많이 루즈해요? 그리구 원단이 조금 뻣뻣한 감이있네요ㅠㅠ 제가 생각한 느낌은 아니라수 별점 1점 뺐어용
