아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
,,,,,,,,,,,
l2CzhKD4,,24.11.09,블루그레이,,생각보다 커요,아주 만족해요,화면과 비슷해요,150cm,60kg,상의 66,블루그레이 색상 너무너무 예뻐요! 여름쿨톤에게 찰떡인 색상입니다 ㅎ-ㅎ 통통-뚱뚱한 편인데 딱 달라붙지도 않고 예쁘게 날씬해 보이는 핏이에요! 맨살에 입어도 부들부들하고 보풀도 잘 안 일어날 것 같은 재질이에요 소매도 길어서 여리여리해 보이구요 >_< 다른 색상도 구매하려고 바로 담아놨습니다!
체리킬러,상위 25%,23.10.21,블루그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,52kg,상의 55,"작년에 잘입고 또 샀습니다
슬랙스에도 예쁘고 청바지에도 예쁘고
자켓을 걸쳐도 예쁘고 단독으로도 예쁘고
호환성(?)이 너무 좋아요 ㅋㅋㅋ
깔별로 쟁여놓기 좋은 기본템입니다👍
보통 저는 55입는데 작지도 않고 크지도 않고 딱 좋아요
다만 접어서 넣으면 주름이 생겨서 매번 다림질이 필요하고
오래 입으면 보풀이 생깁니다 참고하세용"
넷플릭스,,23.10.11,블루그레이,,생각보다 커요,별로예요,화면보다 어두워요,,,,"화사한 색이 잘 안어울리는 얼굴이라 구매 고민했는데 이건 그레이색에 블루 한방울 섞인 느낌이라 부담스럽지않아요
얼핏 봤을땐 그냥 그레이 같은데 그레이옷이랑 비교하면 블루느낌이 느껴지고 조명에 따라 연보라색 느낌도 많이 납니다
색감 비교해보시라고 블루색상 셔츠(왼쪽)이랑 이제품(가운데)이랑 그레이 니트(오른쪽) 같이 찍어봤어요 그레이에 훨씬 가까운느낌이에요
아쉬운점은 제품마감퀄이 좋지않아 소매부분에 실밥이 상당하고 가을니트 치고도 많이 얇은 편입니다"
EGHxd9SM,,23.09.22,블루그레이,,정사이즈예요,보통이에요,화면과 비슷해요,156cm,50kg,상의 66,블랙이랑 같이 구매했는데 사이즈랑 두께감이 넘 달라서 순간 잘못 온줄알고 포장봉투에 붙어있는 바코드까지 다시 확인함.. 블랙은 핏되고 두께감있는데 블루그레이는 블랙보다 얇고 품이 더 넓음ㅋㅋㅋㅋ어깨선 블랙은 딱 맞는디 그레이는 아래로 내려가서 어정쩡함..분명 원사이즈인데 왜 저렇게 많이 차이가 나는지ㅎ 근데 문제는 사이즈보다 옷 두께감이 손으로 만져봐도 느껴질 정도로 거의 반 정도 차이나는거 같아서.. 불량인거 같은데🤔🤔 리뷰보면 얇다는 사람도 있어서 아리까리합니다 그래서 그냥 입는걸로ㅎ 암턴 이러한 이유들로 별하나 뗐어요
akuVUUve,상위 20%,24.11.06,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,174cm,53kg,상의 55,워낙 작년에 사서 잘입어서 올해 또 산건데 다른건 다 맘에드는데 저 허리부분에 약간 이염이 있네요 조금 아쉽습니다 뭐가 묻은건지 반품된 상품인건지...ㅜㅜ그래도 매년 새로 사러올 거 같아여 ㅋ
체리킬러,상위 25%,23.10.21,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,52kg,상의 55,"작년에 블루그레이 너무 잘입어서 검정색이랑 같이 또 샀어요
슬랙스에도 예쁘고 청바지에도 예쁘고
자켓을 걸쳐도 예쁘고 단독으로도 예쁘고
호환성(?)이 너무 좋아요 ㅋㅋㅋ
깔별로 쟁여놓기 좋은 기본템입니다👍 진짜 다사고싶어요
보통 저는 55입는데 작지도 않고 크지도 않고 딱 좋아요
다만 접어서 넣으면 주름이 생겨서 매번 다림질이 필요하고
오래 입으면 보풀이 생깁니다 참고하세용"
회사원모씨,상위 30%,23.04.29,살구핑크,,정사이즈예요,아주 만족해요,화면과 비슷해요,176cm,68kg,상의 66,"제 체형 탓이겠지만...! 어깨 넓고 몸통이 좀 넓적해 보입니다ㅋㅋ 체형커버는 안 돼요. 팔뚝살 있는 스팸형 체형 고대로 드러납니다.. 하지만 옷은 예뻐요~!
색 맘에 들고 옷 질도 굿입니다~"
Bt0KFX92,,23.04.22,아이보리,,정사이즈예요,아주 만족해요,화면보다 어두워요,164cm,58kg,상의 66,"흰색이랑 라벤더 색상을 구매했습니다♥️
흰색이 라벤더 보다 더 쫀쫀하고 살짝 작습니다♥️
라벤더는 화면보다는 약간 어두워서 자칫 잘못하면 내복처럼 보일 수 있어요~♥️
 그치만 질감이 좋아서 오래도록 입을수 잇을것 같아요♥️
보풀도 오래 입으면 어느 옷이나 생기겟지만 관리만 잘해주면 될것 같아요♥️"
4UJ6V8cc,,23.04.17,블루그레이,,생각보다 커요,아주 만족해요,화면과 비슷해요,163cm,57kg,상의 55,"💨💨💨💨이 색감보다 보라빛같기도 회색빛같기도 한 오묘한 흰끼도는 예쁜 색감♡ 쿨톤 찰떡 옷이에요..
간절기에 이너로 입기 좋고 지금 단독으로도 입기 좋아요
핏은 55정도인데 헐렁하고 여유있어요 66일때도 입었을 때 붙지않고 예뻤어요
검정 속옷은 아주아주 약간 비침 있습니당"
