아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
w9oNjPdD,,24.05.21,딥네이비 Navy,,생각보다 커요,아주 만족해요,화면과 비슷해요,158cm,55kg,상의 55,"생각보다 부드러워서 의외였고.. 제가 상체가 통통한 편인데도 여리여리하게 보이게 해줘요 여리여리한 핏이라는 게 원래 마르신 분들만 가능한 건 줄 알았는데 너무 마음에 드네요 요 근래에 인터넷에서 옷 사면 계속 실패했는데 오랜만에 성공했습니다 단점이라 하면 이너를 꼭 입어줘야 한다는 점, 그리고 넥라인이 넓어서 승모근 가리려면 머리 푸르고 입는 게 좋을 것 같아요 🙂"
AKk3Ooca,상위 10%,24.05.20,라이트그린 Light green,,정사이즈예요,아주 만족해요,화면과 비슷해요,168cm,60kg,상의 55,고민하다가 그린이랑 모카 2가지 색상 구매해서 더운 나라 가서 아주 잘 입고 다녔어요 예쁘고 편하고 시원하고 살도 안타요! 만족 만족 대만족☺️
AKk3Ooca,상위 10%,24.05.20,모카 Mocha,,정사이즈예요,아주 만족해요,화면과 비슷해요,168cm,60kg,상의 55,고민하다가 그린이랑 모카 2가지 색상 구매해서 더운 나라 가서 아주 잘 입고 다녔어요 예쁘고 편하고 시원하고 살도 안타요! 만족 만족 대만족☺️
nxTFAD6P,,24.05.18,화이트 White,,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,50kg,상의 55,사진은 좀 부해보이긴하는데 실제로입었을땐 부한느낌은 없었어요 차르르떨어지는 느낌이고 소매는 좀 긴편입니다 여름에도 바람많이부는곳에서는 입을수있을듯합니다
IcG3mLXa,,24.05.17,라이트그린 Light green,,생각보다 커요,아주 만족해요,화면과 비슷해요,162cm,59kg,상의 55,"컬러는 화면색상과 동일합니다! 
무엇보다 가장 맘에들었던건 약간 어깨가 넓은 편인데 어깨선이 없어서 전혀 넓어보이지않고 오히려 더 여리여리하게 보이는거같아요ㅠㅠ 정말 예쁩니당 ㅎㅎ
어깨 넓어서 걱정이신 분들은 이걸로 사셔도 될거같아요!!"
yuna******,,24.05.15,딥네이비 Navy,,정사이즈예요,아주 만족해요,화면보다 어두워요,163cm,50kg,상의 55,"사진이 엄청 밝게 나왔는데 엄청 어두운 남색이구요 
넉넉하게 아주 잘 맞아요 이쁩니다 
햇빛 뜨거운 날이나 요즘 같은 쌀쌀한 날씨에 딱 좋을 거 같아요"
21tXbvsp,상위 15%,24.05.14,화이트 White,,생각보다 커요,아주 만족해요,화면과 비슷해요,165cm,50kg,상의 55,"너무 잘 입고 다녀서 화이트 색상 재구매했어요~
여리여리해보여서 너무 좋아요 그리고 친환경적 포장지를 사용해서 더 좋네요ㅎㅎ"
wGkXqdct,,24.05.11,라이트그린 Light green,,정사이즈예요,아주 만족해요,화면과 비슷해요,153cm,52kg,상의 55,"색은 보이는것 보다 밝고 훨씬 예쁜 그린색ㅇ이에여!!!
키가 작아서 좀 길어ㅛ지만 방방하게 입는걸 좋아해서 오히려 좋았어요 여름이니까 밝은 라이트그린 어떠세여?"
UEe5oXgt,,24.05.10,화이트 White,,정사이즈예요,보통이에요,화면과 비슷해요,162cm,53kg,상의 55,여름에 살 타기 싫다 하시면 이거 사세요! 검정 흰색 샀는데 색깔별로 사고 싶네요 길이는 좀 긴데 그래서 맘에 들어요 가볍게 입기 좋어요
6fK36BoO,,24.05.07,애쉬그레이 Gray,,정사이즈예요,보통이에요,화면과 비슷해요,162cm,52kg,상의 55,ㅠㅠ 목 부분 쇄골 잘 안 드러나서 목 깊게 파인 거 입으면 약간 허전한데 딱 예쁠만큼만 파져서 넘 조아요 스퀘어넥 도전해볼 생각 없었는데 짐짜 좋음
