아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
,,,,,,,,,,,
사장님나에게도기회를,상위 10%,24.12.01,Blue,Free,정사이즈예요,아주 만족해요,화면보다 어두워요,163cm,54kg,상의 55,"색이 잘 안 담기는데 ㅠ 약간 여기 사이트에 올라온 쨍~한 파란색 보다는 아주 약간 흐린 파스텔 톤 느낌이라 해야 할까요?
완전 쨍한 쿨톤 그런 색상이라기 보단 약간 좀 흐려요. 
사진에 절대 안 담기네요. 그나마 제가 가까이 찍은 사진? 그게 진짜 색과 좀 비슷한듯. 
근데도 이쁘네요~ 
털빠짐은 확실히 있는듯요. 코가 간질간질"
모뉴,상위 5%,24.12.01,Yellow,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,156cm,68kg,상의 77,"🖤사용후기🖤 

👩🏻‍💻156/ 68kg , 66-77 , 80E, 겨울브라이트 

💫 재질은 퐁실퐁실하고 쫀쫀한 니트예요! 
니트는 목부분이 흐느적거리고 얇으면 저렴해보이고 퀄리티가 떨어지는데, 이 제부품은 목이 쫀쫀해서 좋아요. 니트도 보드랍습니다. 꺼실거리는거 예민한데, 가렵지도않고 너무 좋습니다 🥰

💫 컬러는 너무예쁜 파스텔 옐로우입니다. 색감도 여리여리하고 너무 귀여워요! 
나이 서른에 귀여움을 잃지않고자 사봤는데, 더 어리신 분들은 더 찰떡으로 어울리실거같아요 ㅎㅎ

💫 길이감은 156기준 아방하게 내려와요. 
밑단 시보리가 잘되어있어서 엉덩이를 덮진않고 엉덩이 골정도 까지 와요. 체형커버 너무 잘되요! 귀여움 그자체ㅠㅠ

💫배송기간은 하루도 안걸렸어요 ㅋㅋㅋㅋ오후에 출발했다 연락받았는데, 다음날 오전 도착😝 진짜 칼배송입니다 🌬아주 빠른 배송이라 급하게 여리여리 니트 필요하신 분은 강추예요!"
바다,상위 5%,23.12.31,Pink,Free,생각보다 커요,보통이에요,화면보다 어두워요,172cm,65kg,상의 66,"블루 배송받고 바로 핑크도 시켰습니다. 아직 걸어만 놨는데도 재질 특성인지 머리카락에 정전기 나듯…? 옷 전체가 부스스해 보이는데, 그래도 두툼해서 따뜻하고 핏이 괜찮아서 마음에 드는 것 같아요.

무엇보다 색감! 이 옷 포인트는 색상인데, 블루처럼 쨍한 핑크를 기대해서 그런지 핑크는 쨍하지가 않네요. 사진은 자꾸 웜하게 나오는데, 쿨에 가까운 것 같고요…

!!!! 사진에 나온 색감은 무시해 주세요 !!!!

진달래나 코랄핑크 쪽이 아니라, 진짜 진한 핑크입니다. 사진에 실제 색상이 다 안 담겨요.

그래도 2번 시킨 옷인데, 퀄리티 괜찮아서 오래 입을 수 있으면 좋겠습니다. 아직까지는 전반적으로 만족스러워서 왜 랭킹에 있는지 충분히 이해 갑니다."
7wGfrbtn,,23.12.21,Pink,Free,생각보다 커요,아주 만족해요,화면과 비슷해요,163cm,51kg,상의 55,"사진상으로는 쨍하게 나오는데 실제색상보면 저정도로 밝은느낌은 아니에요~!!
163이 입었을때 골반까지 내려오게 넉넉한 핏이에요!!보풀이 잘일어날거같긴하지만 저렴하게 잘 구입한거같아요❤"
HUTWKhVW,상위 15%,23.12.10,Blue,Free,생각보다 커요,보통이에요,화면과 비슷해요,160cm,63kg,상의 66,목 부분이 무지하게 두껍습니다 하지만 쫄리는 느낌은 없어요. 끝부분은 니트느낌 시보리가 아니라 끝부분만 고무줄느낌입니다. 그리고 팔부분 박음질이 그지같고 소재는 좀 잘 늘어날것 같애요 검정 옷이랑 같이 있으면 털이 빠지는게 보입니다. 하지만 색도 이쁘고 폭닥하고 느낌 나쁘지않아서 품습니다.
9ID1MKBB,상위 30%,23.12.07,Blue,Free,생각보다 커요,아주 만족해요,화면과 비슷해요,160cm,51kg,상의 55,"입자마자 부들부들 포근한 느낌이 나는 풍성한 니트에요
목을 너무 꽉 조이지 않으면서도 흐물거리지 않게 잘잡아줘서 좋아요
색감도 예뻐서 얼굴 환해지는 느낌이고, 겨울룩에 포인트주기 좋은 컬러네요(눈으로봤을때는 두번째사진 색감이랑 더 비슷하긴 해요)
보풀은 잘일어날것같지만 옷이넘예뻐서 보풀나면 또 살마음 생길정도로 맘에들어요"
a2uGcUWp,상위 20%,23.12.06,Pink,Free,정사이즈예요,보통이에요,화면과 비슷해요,155cm,50kg,상의 44,"진짜 이뻐요!! 
이런 색 옷 인생 처음 입어보는데 쨍하면서도 살짝 채도 낮아서 얼굴이 환해보여요!! 
좀 커서 부해보일줄 알았는데 그렇게 부해보이지않고, 기장이 길어도 밑단이 말려들어가는 모양이라 딱 이쁜 기장으로 옵니다
맨살에 입으면 살짝 가려운 감이 있긴 하지만 못입을 정도는 아니에요! 
너무 잘산 템~,~"
fpZhEdV8,,23.12.03,Pink,Free,생각보다 커요,보통이에요,화면과 비슷해요,,,,"폭닥폭닥한 재질의 니트예요
따뜻하고 가벼워서 추운겨울에 이너를 받쳐입기 좋아요
예쁜 핫핑크라서 자주 입게되네요
보풀이 잘 일어날 것 같은데 관리를 잘 해주면 오래 입을 수 있을 것 같아요!"
95lc4TD1,,23.11.29,Pink,Free,,,,,,,색감은 상세사진이랑 똑같아요~ 옷이 폼이 낙낙해서 좋아요~ 전 체구가 작아서 어깨부분이 좀 큰데! 이쁘게 떨어져서 신경이 쓰이진 않았어요~ 밑단은 제 골반까지 내려와서 바지에 입어도 이쁘고 치마에 살짝 넣어서 입어도 이뻐요~ 옷이 짜임이 꼼꼼한편인데도 가볍고 편하고 따뜻하네요~ 털또는 실타래가 빠질까봐 걱정되었는데 그런건 하나도 없네요~~
