아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
elKgkUvT,상위 10%,24.10.17,오트밀,해당없음,생각보다 커요,아주 만족해요,화면과 비슷해요,156cm,43kg,상의 33 이하,"24.09.26구매
24.10.05배송완료
이런 핏을 가진 후드집업… 여기밖에 없습니다 제가 무신사, 에이블리, 지그재그, 크림, 네이버 등등 모든 쇼핑몰을 다 뒤져봤지만 이런 핏인 후드집업은 그 어디에도 없더라구요 아무튼 하 진짜 핏 미쳣어요 양기모라 두께감도 있어서 따땃하고 아랫부분 밴딩 덕분에 키가 작은 저도 예쁘게 입을 수 있습니당 다들 고민 ㄴㄴ 바로사세요"
FLTrQXLj,상위 5%,25.01.04,네이비,해당없음,생각보다 커요,아주 만족해요,화면과 비슷해요,160cm,50kg,상의 55,"정말 꿈에 나온 핏이에요 ㅎㅎ 덩치있어 보이지않고 시보리도 짱짱해서 길이 조절해서 입을 수 있어요
안에 흰티 입었는데 옷에 많이 묻어나오긴 해요 
그래도 따뜻하고 질도 좋아 꿈에나온 맨투맨 후드티도 구매했어요~"
푸우밍,상위 5%,24.11.21,네이비,해당없음,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,53kg,상의 55,"남동생한테 하나 사줬는데 너무 맘에 들어합니다ㅋㅋㅋ 크치만의 핏과 원단... 동생까지도 완전히 느껴버린 옷이에요 역시나 네이비,, 타사 네이비 후드집업과 비교했을때도 크치 네이비가 확연하게 이쁘더라고요 역시나 하늘 아래에 같은 네이비는 없다는 것,, 너무만족하고 이미 재구매이지만 재재재구매의사 200%입니다ㅋㅋㅋㅋ"
34JUk4Yd,상위 15%,24.11.12,연회색,해당없음,정사이즈예요,아주 만족해요,화면보다 어두워요,159cm,54kg,상의 55,(첫번째사진 왼쪽)카메라에 색감이 안담기는데 회색에 하얀색을 추가한 연회색이라기보단 회색에 하얀색 +약간의 노란색을 넣은 연회색이에요 그래서 회색 와이드팬츠랑 셋업으로 입기엔 무리입니다 퀄리티는 아주 좋고 따뜻해요
ㅎㅈㅇㄷ,상위 20%,24.11.06,네이비,해당없음,생각보다 커요,아주 만족해요,화면과 비슷해요,161cm,58kg,상의 55,"키 161인데 기장은 골반 위쪽 정도까지 오고요 정말 예쁘게 떨어져요! 안에 후드티 필수 티셔츠도 크치에서 같이 주문했는데 예쁘게 레이어링이 되네요:) 
포근한 재질과 느낌이 크림치즈마켓 분위기와 찰떡이네요 
가격도 착한데 이런 느낌이라니ㅠㅠ 굳이 가서 고르지 않아도 인생 후드집업을 얻어서 기뻐요😍"
VU09KEXw,,24.10.24,연회색,검정,생각보다 커요,아주 만족해요,화면과 비슷해요,155cm,52kg,상의 55,"완전 생각했던 오버핏 + 아방방 느낌이 크구 기모가 완전 짱짱하게 들어간 것 같아요!
집에서 입어본 것만으로도 진짜 따뜻했어요 ㅋㅋㅋㅋ
이번 겨울 교복은 이 집업이 되지 않을까 싶네용 🤭
너무 이쁩니다ㅠㅠㅠ"
I3RxZ568,상위 25%,24.10.12,네이비,해당없음,정사이즈예요,아주 만족해요,화면과 비슷해요,157cm,50kg,상의 44,제 키에 엉덩이 덮는 길이인데 살짝 올리면 핏이 살아요! 팔 길이도 넉넉하고 따뜻해요 겨울에 데일리로 자주 입을 거 같습니다 색상은 사진과 똑같고 제가 찍은 사진보다 실물이 더 예뻐요
driJ0cu0,,24.10.05,검정,아이보리,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,60kg,상의 55,"정말 재질도 보들 부들 하고 
무엇보다 핏도 정말 이쁘고 
제가 77 인데 불구 하고 66 
핏을 만들어 주네용 ㅠㅠㅠㅠ
그리고 가격대비 완전 만족 !!
퀄리티 장난 아닙니다 다른색도
더 재구매 할까봐요 ㅠㅠ 대박 ㅠㅠㅠ"
뮤우우,상위 10%,24.08.31,아이보리,오트밀,생각보다 커요,아주 만족해요,화면과 비슷해요,159cm,49kg,상의 55,"아래 밴딩은 꽉 잡아주는 느낌은 아니었어요! 밴딩이 좀 헐렁하긴 했는데 팔 시보리는 좀 짱짱해요. 색은 실제로 봤을 때 더 예쁘고 생각보다 품이 넉넉해서 좋아요~~!!
아이보리 오트밀 진소라 연핑크 네 가지 컬러 구매했습니다~! 후기 사진은 진소라예요!"
4EKHVVXs,상위 15%,24.11.29,메란,메란,정사이즈예요,아주 만족해요,화면과 비슷해요,157cm,60kg,상의 66,"안에 간단한 기모 긴팔같은 기본티에 이 후드집업 하나 걸치고 패딩입으면 진짜 딱 좋아여!
땃땃하고 퀄리티 매우 좋습니당! 헤지면 또 사거나
다른 컬러 탐나면 또 지를 것 같네용"
11QHtHFS,상위 30%,24.11.13,메란,해당없음,정사이즈예요,보통이에요,화면과 비슷해요,168cm,58kg,상의 66,원하던 핏에 다 예쁘고 좋은데 지퍼가 저렴한지퍼 뻑뻑하고 얇아서 금방 고장날꺼같은 지퍼라서 아쉬워요ㅠㅠ 지퍼 빼면 전부 만족합니다!! 다른컬로도 욕심나요 :)
히콩이,탑리뷰어,22.09.23,핑크,해당없음,생각보다 커요,아주 만족해요,화면과 비슷해요,164cm,78kg,상의 88,"까맣고 노란 얼굴이라 얼굴 더 노래지는 핑크면 어떡하지 했는데 너무 예쁜 딸기우유 색깔임!
다른색도 사야겠다 싶은 후드집업ㅎㅎ
77인데 넉넉하게 맞구요
기모도 짱짱해서 잠깐 입었는데 따뜻했어요☀️
배송 느리다 했는데 우체국 택배로 하루만에와서 더 좋았음"
z7R56EXM,,24.04.14,네이비,해당없음,정사이즈예요,보통이에요,화면과 비슷해요,162cm,60kg,상의 66,핏 귀여워요! 엉덩이 반 정도 덮는 기장이고 안감이 기모라서 따뜻해요! 그런데 아무래도 가격이 저렴(?)해서 그런지 안감이 티에 묻어나요… 흰 티 받쳐입었는데 티 전체에 지저분하게 묻어납니다… 참고하세요!
myhe******,,25.01.11,네이비,해당없음,생각보다 커요,아주 만족해요,화면과 비슷해요,168cm,53kg,상의 55,"가격대비 퀄좋고 두툼하고 좋아요
남자 100사이즈 입는사람이 입어도 맞아요
품이 넉넉하네요
여자55인 제가 입기에 크니깐 박시하게 입기좋네요
겨울에 입기 넘좋은옷~~
가성비 넘 좋고 두께감도 꽤 됩니다"
nahyun3451,,25.01.09,오트밀,해당없음,생각보다 커요,보통이에요,화면과 비슷해요,161cm,50kg,상의 55,"색상은 화면상 보이는 오트밀 색과 동일하고
질은 생각보다 탄탄한데 남녀공용이라그런지 사이즈가 매우 매우 큽니다

그리고 급하게 필요해서 직진배송되는 색상으로 구매했었는데 실제로는 예상일보다 뒤늦게 받아 원하는 날에 입진 못했어요 ㅠㅠㅠㅠ 고객센터에서 환불해준다고하셨는데 그냥 귀찮아서 입습니당….하루 뒤 필요한게 아니였다면 다른 색상을 시켰을 것 같은데 그건 아쉽네요!"
Keoqpdn,상위 10%,24.12.19,와인,해당없음,생각보다 커요,아주 만족해요,화면보다 어두워요,,,,"오트밀이랑 두개삿는데 진짜 대만족ㅇ에야 !!
사이즈도 넉넉한데 특히 후드가 커서 더 예뻐요
야리여리핏으로 보이게하는 마성의 매력
레더자켓 , 야상 , 패딩 , 코트 어디에나 다 잘 어울려욥"
kg5ZvXkr,상위 10%,24.12.06,진회색,해당없음,정사이즈예요,아주 만족해요,화면과 비슷해요,155cm,54kg,상의 55,"오자마자 입어보고 빨래 한건데요
오트밀이랑 고민했는데 진회색 사길 잘했어요
화면이랑 색감 똑같고 핏이 너무 좋아요
키가 작고 좀 통통한데 다리도 길어보이고 여리해보여요
두툼해서 따뜻하고 부드럽구 올 겨울 넘 잘입을거같아요"
xbMmDcvE,,24.11.29,아이보리,해당없음,생각보다 커요,아주 만족해요,화면과 비슷해요,159cm,59kg,상의 66,커플템으로 입어도 된다고 했는데 왜그런지 알만큼 품이 넉넉합니다! 오버핏 좋아하시면 아주 좋을것같아요 밑단 시보리 짱짱하다고 하셨는데 그렇다고 아예 안내려오진 않아요ㅠㅠ 그래도 다른집업보단 훨씬 덜 내려오긴합니다!
oh17yo7v,,24.11.20,오트밀,해당없음,생각보다 커요,아주 만족해요,화면과 비슷해요,167cm,50kg,상의 44,사고 나서 블프로 2만원까지 내려간거 보고 좀 씁쓸했지만 근데도 사길 잘했다라는 생각이 들 정도로 만족해요! 색이 진짜 이쁘고 오늘(11/20)같이 추운 날에도 단독으로 입을 수 있을만큼 따뜻하고 퀄 좋습니다. 시보리도 아주 짱짱해요
