아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
rEPJGWQL,상위 20%,24.12.02,핑크,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,154cm,55kg,상의 66,"기모가 도톰해서 겨울에 입기 넘 조을거같고
키크신분들은 좀 짧게 느껴지실거같습니다 그치만 아래 시보리가 엄청 짱짱해요
색감은 핑크에 보라색이 좀 섞여서 쿨한 느낌이라 쿨톤분들께 찰떡일듯"
rami,상위 5%,24.11.21,차콜,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,169cm,52kg,상의 55,"요 빈티지 기모 후드티 찐 멋있네요ㅋㅋㅋ
딱 보기에 넉넉한 핏이라(그렇다고 너~무 크지도 않아서 자켓 안에 입기도 좋을듯) 편안하게 입기 좋고, 소매와 밑단 부분의 디테일이 탄탄해 보여서 내구성도 좋아 보여용
 빈티지 피그먼트 워싱이 들어가서 색감이 너무 세련되고 고급스러워 보입니닷
 뒤에서 봤을 때도 심플하면서 자연스러운 핏이라 어디에나 잘 어울릴 것 같아요ㅎㅎ
 안감이 기모라서 겨울에도 따뜻하게 입을 수 있을 것 같고, 겹쳐 입기에도 최적화된 디자인입니다ㅎㅎ 이런 후드티 하나 있으면 데일리룩으로 딱이어서 강추합니다~~😆"
zzing,상위 1%,24.11.21,핑크,FREE,정사이즈예요,아주 만족해요,화면보다 밝아요,162cm,59kg,상의 66,"살찐 스트레이트입니다
살짝 어깡처럼 보일 수 있으나 빨고 잠바로 누르면 어깨선이 좀 내려앉지 않을까 기대하고 있어요
생각보다 밝다는 후기 때문에 고민하다가 맨날 차콜 블루계열만 사입어서 핑크 한번 사봤는데 여쿨인데 색깔 너무 잘받아요
엄마가 색이 잘어울린다고 잘샀대요 ㅎㅎㅎ
안에 기모라 따뜻할 거 같고 재질도 좋고
시보리 짱짱하고 만족만족 차콜이랑 블루도 사고 싶어졌어요

아 근데 기모 털이 엄청 묻어나네요
한 번 빨고 잠깐 입어봤는데 난리남ㅎㅎ..
어쩐지 까만 빨래들이 다 털이 묻어 있더군요…

돌돌이 하니까 이제 안묻어나네요..
차콜도 사야겠어요"
하늘하늘하늘,상위 5%,24.11.06,블루,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,164cm,50kg,상의 55,담날 배송되는게 블루밖에 없어서 사실 좀7 고민했었거든요 ㅠ 저는 차콜을 원했는데 블루가 예쁠까 싶어서...근데 받아보니까 너무 맘에들어요. 빈티지느낌이라 분위기 있어보이고 기장도 크롭으로 딱 예뻐요.안에 흰티 안입고 입어도 예쁘긴한데 추워서 입었더니 그래도 예쁘네요!
lsj8*****,상위 10%,23.12.06,차콜,FREE,생각보다 커요,보통이에요,화면과 비슷해요,167cm,56kg,상의 44,"제가 167인데 이정도 핏 나온다는걸 보여드릴려고 사진을 여러장 찍었어요 :)
노스 숏 패딩에 레이어드할 후드를 찾고 있었는데 이정도 핏감입니다. 쭈리를 위로 올리면 접히는 영역이 커져서 핏이 이상해져요. 그래서 하단 모양을 잘 잡아야 예쁩니다. 모자가 워낙 길고 커서 좀 가오나시 같지만 그래도 추우니까 잘 쓰고 다닐 것 같아요.
컬러가 원하던 색상에 빈티지한 무드라 옷자체는 너무 예뻐요!
재질감은 적당히 탄탄하고, 내부 기모가 얇지만 부드럽게 들어가 있어요. 옷 자체를 만져보면 면재질 + 기모라 얇은편인데 이너용 티를 입을꺼라 추위는 괜찮을 것 같아요.
신나서 사진찍고 리뷰 써뒀는데 빨래하고 보니 밑단 쭈리 안쪽 박음질이 덜되어 있었네요ㅠㅠ 제품 받으면 검수 필수입니다.. 아무튼 생각보다 옷이 더 커서 아쉽지만 예쁘긴 하다라는 후기였습니다."
DHAN,상위 5%,23.12.05,차콜,FREE,정사이즈예요,보통이에요,화면과 비슷해요,164cm,63kg,상의 66,"배송오래걸렸더는 후기가 있어서 걍 여유롭게 기다렸는데 오히려 다른 옷들보다 제일 빨리 왔어요.
컬러는 너무 이뻤고 옷 재질도 탄탄하니 오래 입을 수 있을 것 같아요.
핏은 어깨선의 자기주장이 강해서 좀 어깡이가 된 기분이고
기장은 제가 짧은 기장을 잘 안입어봐서 그런지 앞배가 있는 저한테는 약간 난감하더라고요.
밴딩부분을 올려입어야하는지 내려입어야하는지 접어입어야하는지...
모델분처럼 예쁜핏이 나오려면 아무래도 66은 안되지 않을까... 싶습니다.
그래도 안에 매치해서 입으면 예뻐요 반품은 안하려고요.
안에 기모도 도톰하고 좋은데 주머니 기모부분이 왜이렇게 뭉친 애들이 많은건지 오돌토돌하더라고요.
모자 실밥도 정리안되어져서 왔고요.
옷 재질과 퀄리티는 마음에 듭니다.
대신 핏이 이쁜분이 입어야 잘 어울릴 것 같아요 :)
빠른 배송 감사합니다~"
yiP2JtYx,상위 30%,23.11.17,차콜,FREE,정사이즈예요,보통이에요,화면과 비슷해요,175cm,54kg,상의 55,"색상 기장 재질 퀄리티에 있어서는 전반적으로 만족합니당
베델은 항상 시보리가 탄탄해서 허리 어벙벙하게 안뜨는게 좋아요
근데 원단 자체가 너무 탄탄하고 뻣뻣한 워싱이다보니? 후드가 자기주장이 대따 강해서 저렇게 목위로 확 올라와서 그건 좀 불편하긴 합니당 그래도 예뻐요"
V3332iIN,,25.01.12,블루,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,156cm,56kg,상의 55,블루가 필요해서 샀는데 차콜이 더 예뻤을 것 같은 아쉬움이..! 그래도 괜찮아여 옷 자체는! 모자 사이즈며 소매 시보리 등등 퀄리티도 낫밷~ 편하게 잘 입을 것 같아요!!
G38cxqwd,상위 30%,24.12.17,차콜,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,164cm,52kg,상의 55,빈티지한 느낌이라 멋스럽고 세미크롭 기장이라 너무 큰느낌도 없고 가오리핏이라 아방하구 예뻐요~ 입다가 봄되면 기모 없는 버전도 구매해야겠어요♡
y41yXoLB,상위 15%,24.12.04,차콜,FREE,정사이즈예요,보통이에요,화면과 비슷해요,160cm,47kg,상의 55,원단이 단단톡톡(?)한 느낌입니다. 모자는 크기는 큰데 목주변 폭이 좁은 느낌이라서 살짝 애매 하기도 해요.ㅎㅎ 그래도 색감도 예쁘고 사이즈도 적당해서 마음에 듭니다!!
UaD0jQfN,상위 20%,24.11.26,차콜,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,155cm,57kg,상의 66,인쇼 자체제작 퀄리티라고 생각하지 못할 정도로 톡톡한 원단에 기모도 보들보들해요 허리 시보리가 짱짱해서 처음엔 불편한가 싶었는데 핏은 예뻐요
R2LF5IQV,상위 15%,24.11.13,차콜,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,168cm,56kg,상의 55,"시보리짱짱해서 좋아요.
다만 세탁시 물빠짐 있으니 조심하세요~
따땃하니 요즘날씨에 얘만 입어도
괜찮아요.
제키에 많이 짧지도 길지도 않고
딱 이쁜핏 나오네요~"
