파일명,컬럼명,전체 데이터 개수,데이터 타입,NaN 개수,최빈값,최빈값 빈도,2번째 최빈값,2번째 최빈값 빈도,3번째 최빈값,3번째 최빈값 빈도,고유값 개수
p5,작성 날짜,1000,object,502,24.03.16,9,24.03.09,9,24.03.30,8,217
p5,옵션1,1000,object,502,아이보리,357,블랙,128,베이지,7,6
p5,옵션2,1000,object,773,선택안함,110,블랙,82,아이보리,29,6
p5,상품 사이즈,1000,object,502,정사이즈예요,478,작아요,11,생각보다 커요,9,3
p5,퀄리티,1000,object,502,아주 만족해요,262,보통이에요,232,별로예요,4,3
p5,색감,1000,object,503,화면과 비슷해요,492,화면보다 어두워요,4,화면보다 밝아요,1,3
p5,키,1000,object,566,160cm,60,158cm,48,164cm,35,28
p5,몸무게,1000,object,566,50kg,60,52kg,46,48kg,26,34
p5,사이즈,1000,object,573,상의 55,239,상의 44,109,상의 66,69,6
p5,리뷰내용,1000,object,502,가슴 많이 파이지 않은 나시 찾다가 샀어요 두꺼운 편이라 완전히 이너용은 아니고 받쳐입는정도로 입으면 좋을듯,2,딱기본니트느낌 ㅎㅎㅎ 제가뭐뭍히고바로찍어서그런데 보풀이심하지않아요전혀.. 싸구려 사서 쓸바에는 이런거한장 구매하시고 다들 광명찾으시길 ㅎㅎㅎ,2,넘모넘모넘모예뻐요..! 화이트랑 블랙 두 색상 샀는데 진짜 두 개 다 산 걸 너무 잘한 거 같습니다 쇄골 바로 밑에까지 가려줘서 안부담스럽고 어깨 끈은 얇아서 아주 날씬해보이는 효과가 있어요!,2,474
p6,아이디,1000,object,0,fJjOFkJu,4,wlsd******,4,jQ9bTND1,3,949
p6,리뷰어 등급,1000,object,699,상위 25%,57,상위 15%,57,상위 10%,50,7
p6,작성 날짜,1000,object,0,24.09.20,23,24.09.21,23,24.09.24,22,137
p6,옵션1,1000,object,0,블랙+화이트(-1000원추가할인),368,화이트 단품,174,화이트+그레이(-1000원추가할인),85,12
p6,옵션2,1000,object,0,free(롱버전),531,free,469,,0,2
p6,상품 사이즈,1000,object,0,정사이즈예요,839,작아요,135,생각보다 커요,26,3
p6,퀄리티,1000,object,0,아주 만족해요,499,보통이에요,470,별로예요,31,3
p6,색감,1000,object,0,화면과 비슷해요,986,화면보다 어두워요,9,화면보다 밝아요,5,3
p6,키,1000,object,91,160cm,147,163cm,87,164cm,69,30
p6,몸무게,1000,object,96,50kg,116,52kg,76,55kg,71,41
p6,사이즈,1000,object,139,상의 55,495,상의 44,217,상의 66,131,5
p6,리뷰내용,1000,object,0,너무 만족스러워요...이렇게까지 마음에 드는 옷은 첨이에요!! 친구들이 어디서 싰냐고 믈어봐서 바로 링크 공유까비 해줬답니다~~ 다들 만족스럽게 입고 다니더라구요 제가 판매자도 아닌데 왤케 뿌듯할까요,4,"편안하고 쫀쫀한 스타일이예요
가격대비 너무 좋아요",3,캡이 내장되어 있는 나시라서 활동하기 너무 편했고 여러옷에도 코디할 수 있어서 너무 좋았어요^^,3,981
p7,아이디,1000,object,0,pjyerPuE,8,hjre***,5,Qv3DnTTs,5,815
p7,리뷰어 등급,1000,object,675,상위 10%,69,상위 30%,56,상위 15%,48,8
p7,작성 날짜,1000,object,0,24.04.29,11,24.09.21,10,24.07.21,10,393
