아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
53EHW5xM,,23.06.20,White(화이트/반팔),,생각보다 커요,아주 만족해요,화면과 비슷해요,163cm,48kg,상의 44,"생각보다 셔츠 폭은 훨씬 큰 느낌이 들었어요!
기장은 적당했구요 코디 그대로 구매했는데
사진찍을때 꽤나 귀여운 느낌을 주더라구요ㅎㅎ
소재도 꽤 탄탄하고 빨아도 구겨짐이 적어서 좋았습니다!
폭이 너무 큰걸 싫어 하시는 분들은 비추요!"
bZ3ZvwxT,,23.05.22,Cream beige(크림베이지),,생각보다 커요,아주 만족해요,화면보다 밝아요,163cm,65kg,상의 55,진짜 좀 많이 오버핏이에요 저는 그래서 마음에 들긴한데 생각보다 많이 커서 그 부분 참고하시고 구매하시면 될 것 같습니당 단독으로 입엇을 땐 살짝 부해보이는 거 같아서 저는 아우터 겸용으로 많이 입는데 괜찮아요! 주름 잘 지는 재질입니당
TOFa1DWl,,23.04.16,Pink(핑크),FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,161cm,41kg,상의 44,오버핏 코튼 셔츠니까 오버핏일거란 예상은 당연히 했지만... 제가 체구가 작아서 그런지 생각보다 정~말 컸습니다! 약간 옷에 잡아먹힌 기분... ㅎㅎ ㅠ 아예 작정하고 오버오버핏으로 입고 있어요 그래도 가격 대비 탄탄하고 색감도 봄에 잘 어울리고 예뻐요~!
LeoaUPxm,,22.09.06,Pink(핑크),FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,169cm,57kg,상의 55,"색감이 정말 예뻐요! 중청바지랑 입어도 예쁘고, 회색슬랙스랑 입어도 예쁘고.. 그냥 다 예쁩니다 :) 봄 가을에 무심하게 툭.. 색깔있는 캡모자에 입기 정말 좋은 것 같아요 ㅎㅎ 핏도 오버핏이라 완전 마음에 들어요~ 정말 좋은 가격에 잘 구매한 것 같아요!"
sara******,,22.07.08,White(화이트),FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,164cm,42kg,상의 33 이하,"제대로 나온 사진은 없는데 아우터로 힙한 느낌 내기 딱 좋아요 ! 바닷가 놀러갈 때 소품 겸 아우터로 너무 잘 활용했어요.. 사이즈도 딱 제가 원하던 적당한 오버핏이라.. 너무 크거나 아쉽게 작을까봐 걱정했는데 너무 만족스러워서 매일매일 아우터로 입고 다녀용
여름에 두꺼운 자켓 입기도 좀 그래성 샀는데 잘 활용하는 중"
2256*,,22.06.12,Sky(스카이),,생각보다 커요,아주 만족해요,화면과 비슷해요,,,,옷이 오버핏이라 치마나 바지 안으로 넣고 입기엔 뭔가 어정쩡한 느낌이에요 나중에 구겨짐 문제도 있고.. 기장은 치마와 그렇게까지 차이나지않는 정도에요 - 그래도 색상이나 옷 퀄리티는 너무 이쁘고 좋아요!
RiWDs5ND,상위 15%,24.10.04,White(화이트/긴팔),,생각보다 커요,보통이에요,화면과 비슷해요,170cm,57kg,상의 55,기본 화이트 셔츠 필요해서 구매했는데 오버핏 원하긴 했어서 사이즈가 큰건 아주 만족합니다!! 자켓이나 니트 안에 입기에 괜찮은 정도에오 근데 주름이 잘져요ㅠㅠㅠ 입을 때마다 스팀다리미로 펴서 입고는 있는데 네.. 주름 질지더군여 ㅎ
HYbj6Wps,상위 15%,24.10.02,Pink(핑크/반팔),,생각보다 커요,보통이에요,화면과 비슷해요,160cm,60kg,상의 66,색감은 정말 정말 이뻐요!! 여행가려고 샀는데 사진 화사하게 잘 나왔습니다. 다만 구김이..정말 잘 생기네요ㅠㅠ 구김 잘 생기는 재질인 것 같아서 다림질 해서 입으면 될 것 같아요. 반팔 부분도 되게 커서 접어입는 게 이쁘구요 저는 조금 부해보였는데 여리여리 핏인 분들이 입으면 넘 이쁠 것 같아요(그래서 여리여리한 언니에게 양도했답니다 이쁘다네요ㅎㅎ)
허너버티,상위 1%,24.09.20,White(화이트/반팔),,생각보다 커요,아주 만족해요,화면과 비슷해요,171cm,51kg,상의 55,"저는 즐기는 스타일이나 생활습관들이 셔츠를 불편해하고 즐기지 않았었습니다.
저한테 셔츠는 웬지 더울 것 같고, 구겨짐을 계속 신경써야하고 귀찮은 옷이라고 생각했어요.
그러다 지그재그를 구경하면서 이 옷을 발견하게 되었는데, 옷이 귀여워 보이고 새로운 도전차 구매 해 보았습니다.
사실 구매 후 취소할까 고민도 하고 구매를 후회할 것 같다는 생각을 하였는데, 제품을 받아 입어본 뒤
최근 구매 한 옷들 중 가장 마음에 들었습니다.
팔부분은 사실 예쁘진 않아요..! 접어야 좀 귀여운 느낌에 예쁘고, 팔을 접으니 오히려 상체가 덜 부해보이고 팔뚝도 슬림 해 보였어요. 
제가 지금까지 생각해 왔던 셔츠의 이미지와 달리 활동이 굉장히 편했고, 걱정되었던 구겨짐은 구겨짐이 조금 있어도 오히려 그거대로 예쁘고 심한 구겨짐이 지는 건 아니라서 너무 만족스러웠습니다.
또한 옷이 오버사이즈로 좀 펑펑한 느낌이라 불편하게 몸에 붙지 않아 좋았어요.
다른 색상도 사고싶습니다. 너무 대만족스러워요.

그리고 처음으로 의류공장을 운영하시는 엄마가
예쁘고 잘 샀다며 인정 해 준 옷이었습니더 ㅜ"
sYTuAS2q,상위 10%,24.09.19,Sky(스카이/반팔),,생각보다 커요,아주 만족해요,화면과 비슷해요,172cm,78kg,상의 66,생각보다 품이 많이 커서 놀랐는데 막상 입으면 핏도 이쁘고 괜찮아요 셔츠 단독보다는 레이어드 하는게 더 이쁘게 입을 수있고 색감이 딱 하늘색이라 정말이쁩니다 쨍하지도않고 라이트한 색감이예요 예쁘게 입고 증사도 찍었습니다 증사옷으로도 추천 키 173인데 기장 예쁘게 맞아요 핏은 딱 뚝하게 떨어지고 생각보다 부드러운 재질입니다 소매 접은게 더 깔끔하고 귀여워용 디테일이랑 마감 깔끔하고 좋아요구매 추천해용
