아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
4krtM50f,,24.04.19,스카이블루,FREE,생각보다 커요,보통이에요,화면과 비슷해요,158cm,47kg,상의 44,"158/47 기준 오버핏으로 잘 맞았습니다. 단독으로 입어보진 않았는데 좀 커서.. 단독으론 못입을 것 같기도 하네여..
사진처럼 여름에 나시랑 같이 입어줘도 좋을 것 같구 흰티 받쳐 입어도 좋을 것 같아유
코튼 소재에 비하면 정말 링클프리지만, 제가 기대했던 링클프리 소재보다는 좀 덜 찰랑찰랑 거리고 약간의 주름이 잡히는 듯해욤,, 다림질 하면 증말 쫙쫙 펴져서 더 예뻐여 ㅎㅎ
색감이 청량하니 예뻐서 봄여름에 입기 딱 좋습니다
한 가지 문제가 있다면 ,,, 제 옷만 그랬는진 모르겠지만 단추구멍 마감이 구려서... 단추 잠궜다가 풀고 싶은데 자꾸 실에 걸려서 단추가 잘 안 빠져요.. 별거 아닌 문제긴 한데 매번 걸리니 짜증이 확.. 솟구칠 때가 있었습니닼... 이점 주의하시면 좋은 소비하실 수 있을 것 같아요"
f2az6U8w,상위 20%,24.06.03,베이비핑크,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,51kg,상의 55,"너무 오버핏 셔츠는 별로 안 좋아하는데 키 158 기준 적당한 기장감에 딱 예쁜 핏이에요!
여름에도 긴팔을 자주 입어서 나시 위에 걸쳐 입으려고 구매했는데 바스락 거리고 몸에 안 감기는 시원한 소재라 구김도 덜하고 잘 입어질 것 같아요 :)"
been*****,상위 30%,24.05.10,스카이블루,FREE,정사이즈예요,보통이에요,화면과 비슷해요,155cm,45kg,상의 44,"하늘색 셔츠가 사고싶었는데 흔한건 싫어서 스트라이프로 샀고 만족합니다! 링클프리라서 더 좋아요
근데 단추 잠구는 부분 마감이 잘 안돼있어서 단추 풀때 좀 짜증난다는 말 공감됩니다..😅 그래도 시원하고 여름에 햇빛 가리는용으로 잘 입을거같아요~!"
SpVMt3WJ,,24.04.23,베이비핑크,FREE,정사이즈예요,보통이에요,화면과 비슷해요,152cm,40kg,상의 44,"매끈매끈한 소재로 구김이잘안갈것같아 좋아요
색감도 선명하지않은 파스텔핑크톤이라 맘에들고
사이즈도 적당히넉넉해서 좋네요
카라가 각잡혀서있어서 좀눌러서모양잡아줘야할것같아요
그리고 실밥은좀많아서 정리해줘야합니당
그래도 전반적으로 강추!"
Yuxi8vFx,상위 10%,24.03.27,스카이블루,FREE,작아요,아주 만족해요,화면과 비슷해요,168cm,65kg,상의 66,"1. 소재
링클프리 중에서도 빤딱빤딱한 소재입니당 찰랑이나 보들아니에영 바스락느낌! 소재는 아주 맘에듭니동 굿굿

2. 사이즈
168기준 모델분처럼 엉덩이 덮는기장 절대 아닙니당 첨에 입어보고 짧아서 놀랬어요 품은 엄청 넉넉한 남친핏도 아니고 정직핏도 아니고 그 중간 어디쯤이에영 그치만 넣입하실거라면 짧아서 배안나와보이고 좋슴둥 

3. 컬러
쌍큼하구 좋슴다 여름여름해영"
kimponyo,상위 5%,24.12.05,베이비핑크,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,157cm,51kg,상의 55,여름에 나시티나 반팔에 휘뚜루마뚜루 잘 걸쳐입었어요! 다른 셔츠에 비해 훨씬 주름이 덜 가는 소재라 다림질 조금만 해도 금방 주름 사라져서 좋았어요 지금은 겨울이지만 안에 목폴라 입으면 충분히 입을 수 있을 거 같아요!
또혀나,탑리뷰어,24.11.06,블루그레이,FREE,생각보다 커요,보통이에요,화면과 비슷해요,160cm,54kg,상의 55,"솔직히 포장 뜯고 옷 봤을때 맨 밑 하단에 일직선으로 바르게 재봉되지 않고 휘어지게 재봉되고 겨드랑이 부분에 사진처럼 이상하게 실밥처리 되어있는게 좀 별로였어요. 직진배송으로 받아서 빨리 받은건 좋았는데 옷 자체 마감이 영.. 엉성했던..^^.. 색상은 비교적 일반 블루랑 비교 했을 때 차분한 블루색입니다! 저한테 핏이 크긴 한데 단톡으로 입어도 예쁘고 바지 안에 입었는데 만족해서 좋게 남겨요ㅋㅋㅎ 참고로 구김도 별로 없는듯?
근데 가격이 3만원대라 약간 납득이 힘듬.. 차라리 2만원 중반대까지의 가격대 였으면 합리적이였을듯?"
okps*,상위 20%,24.10.09,(썸머)소라,FREE,정사이즈예요,보통이에요,화면과 비슷해요,163cm,45kg,상의 44,"입다보니 보푸래기가 금방 생기긴했지만, 그거 빼곤 단점이 1도 없는 정말 착한녀석... 요셔츠 하나로 다른 제품들 구경하게 될정도로 괜찮았어요.
진짜 다른 셔츠 다 비교해봤는데, 카라깃, 적당한 스트라이프와 컬러배색, 뒷판 잡힌거, 버튼 모두 퀄 좋았어요.
민소매입고 아우터로도 굿이었고, 요거 단품으로 입어도 예뻤어요! 특히 아우터로 입을때 너무 예쁘고 살안타템으로도 최고였어요 ㅎㅎ 계곡갈때 걸쳤는데 청량걸 그잡채
내년에 아더컬러 구매하러 올게요 >_<"
s6yv******,상위 20%,24.10.06,베이비핑크,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,69kg,상의 66,적당히 넉넉해서 활동성이 좋으나 다 잠궈서 단정하게 입기보단 오픈해서 스포티하게 루즈하게 연출하는게 더 이쁩니다! 모델처럼 정갈한 느낌은 안나네요. 낮엔 더워서 들고다녔는데 구김이 잘 가지않아서 관리하기가 편해요!
4lvs7rYg,,24.10.02,베이비핑크,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,"단독으로 입어도 이쁘고, 가디건이나 니트랑 레이어드해서 입어도 이뻐요! 여름에는 안에 나시입고 가볍게 걸치기도 가능할 것 같아요 옷 하나로 여러가지 스타일링 가능해서 추천합니당 ㅎㅎ
색감은 연한 핑크로 여쿨이나 봄웜한테 찰떡인 색이에요!!"
